time,open,high,low,close,volume,note
2025-03-28,4.0400,4.0500,4.0200,4.0200,116424542,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-03-31,3.9500,3.9600,3.8700,3.9000,374091295,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-01,3.9000,3.9800,3.9000,3.9500,229656655,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-02,3.9400,4.0200,3.9400,4.0100,172927459,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-03,4.0000,4.0200,3.9700,3.9900,130665716,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-07,3.8800,3.9000,3.7100,3.8000,414485320,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-08,3.8000,3.8900,3.8000,3.8900,289088848,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-09,3.8900,3.9200,3.8200,3.9100,237609361,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-10,3.9100,3.9200,3.8800,3.8900,132706814,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-11,3.8900,3.9900,3.8700,3.9800,222439727,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-14,3.9900,4.0000,3.9300,3.9500,163939308,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-15,3.9500,4.0200,3.9400,4.0100,219505471,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-16,4.0000,4.0300,3.9800,4.0200,180633314,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-17,4.0100,4.0300,3.9800,4.0200,148752985,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-18,4.0200,4.0400,4.0100,4.0200,142883255,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-21,4.0100,4.0500,3.9700,3.9800,169129448,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-22,3.9900,4.0300,3.9700,4.0100,133526722,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-23,4.0100,4.0200,3.9600,3.9700,145971408,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-24,3.9700,3.9900,3.9600,3.9700,121609964,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-25,3.9700,3.9900,3.9400,3.9500,125756142,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-28,3.9600,4.0000,3.9500,3.9800,156502056,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-29,3.9800,4.0300,3.9600,3.9700,146543984,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-04-30,3.9600,3.9800,3.9200,3.9800,169026258,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-06,3.9800,3.9900,3.9600,3.9700,149699022,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-07,3.9900,4.0400,3.9700,4.0400,222699453,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-08,4.0400,4.0800,4.0200,4.0600,182872606,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-09,4.0700,4.1000,4.0600,4.0900,161830505,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-12,4.0900,4.1200,4.0700,4.0800,155657400,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-13,4.1000,4.1400,4.0700,4.1300,229301825,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-14,4.1300,4.2000,4.1100,4.2000,267856846,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-15,4.1900,4.2200,4.1500,4.1500,154837010,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-16,4.1600,4.1800,4.1000,4.1300,135495021,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-19,4.1300,4.1700,4.1100,4.1200,125694023,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-20,4.1300,4.1600,4.1100,4.1400,110303432,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-21,4.1400,4.1800,4.1300,4.1600,116887173,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-22,4.1600,4.2000,4.1400,4.2000,131413679,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-23,4.1900,4.2200,4.1600,4.1600,182663416,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-26,4.1600,4.2100,4.1500,4.2000,205303567,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-27,4.2000,4.3000,4.1900,4.2700,294336244,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
