time,open,high,low,close,volume,note
2022-08-30,82.4800,84.5000,82.1000,83.7800,2895177,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-08-31,83.8300,85.9900,83.3000,85.1300,4166785,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-01,84.4400,85.4500,83.8800,83.9000,2231628,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-02,84.0300,84.5000,82.5200,83.5400,2189692,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-05,83.2000,83.7900,82.0400,82.7800,2356172,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-06,82.5200,85.2000,81.6100,85.0800,3674714,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-07,84.4000,84.4600,83.6800,83.8000,2053418,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-08,84.0000,84.9000,83.7400,83.8900,1971234,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-09,84.0600,86.1500,83.6000,85.6500,3881101,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-13,86.3000,86.8200,85.5000,86.0400,3134998,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-14,84.5800,85.8900,84.5800,85.8200,2295225,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-15,86.4000,88.7400,85.1500,85.8500,4330645,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-16,85.3000,85.5100,80.8200,81.1800,6576481,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-19,80.8800,81.7000,80.0100,80.6200,2058575,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-20,81.3100,81.5100,79.6800,80.0400,2533561,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-21,79.8300,79.8300,77.8600,79.1300,2616148,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-22,78.1100,79.5900,77.8000,78.8300,1665477,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-23,79.0000,79.5900,77.5000,78.2200,1584344,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-26,77.1100,78.3000,77.0000,77.0400,1618512,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-27,77.1700,79.0000,77.1700,79.0000,2012955,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-28,78.9000,78.9300,77.4500,77.5600,1592610,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-29,78.3300,78.9500,76.7000,76.7700,1882672,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-09-30,76.7900,78.2800,76.7700,77.4800,1852000,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-10,77.5500,78.0000,76.6700,76.8300,1485224,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-11,76.9900,78.2100,75.8000,76.9600,1964415,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-12,77.0000,78.5800,74.5000,78.3700,3233741,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-13,77.3900,79.0200,77.3600,78.0000,2102546,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-14,78.9900,81.3800,78.8100,80.2000,4240403,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-17,79.7500,80.9500,79.3600,80.4500,2216909,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-18,81.0600,81.1700,79.1900,79.4800,2312311,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-19,79.4100,79.9100,78.3700,78.3700,1982322,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-20,77.9000,80.5600,77.8000,78.7000,2607086,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-21,80.5200,81.5500,79.2000,79.6500,3224901,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-24,80.4900,83.6600,79.2200,79.6200,5113978,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-25,78.9000,81.0000,75.6600,79.5200,4015895,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
