time,open,high,low,close,volume,note
2022-06-15,135.0000,137.8300,132.6300,135.4500,29888407,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-16,134.8000,136.3900,131.8100,131.9700,22343350,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-17,130.0000,141.9900,129.9000,140.2000,38158656,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-20,140.5000,143.6800,139.4600,141.4900,28787253,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-21,140.6300,140.7900,134.7400,136.6500,27830166,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-22,137.0000,138.8600,135.3800,135.6000,19579003,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-23,135.8000,137.9000,132.0100,137.6500,23297526,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-24,137.6600,138.2300,134.7000,136.5100,19043243,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-27,137.2000,150.1600,137.2000,149.1900,55132179,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-28,149.1000,150.6000,146.7000,150.0000,34279462,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-29,149.4700,149.5000,143.0300,143.1500,28492350,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-06-30,144.1800,149.0300,144.0000,148.7000,24834704,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-01,147.2400,158.1600,147.0000,156.9700,40711800,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-04,104.0000,111.7500,104.0000,110.3300,108288843,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-05,110.3600,113.3400,106.2900,109.8500,80135754,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-06,108.2800,116.8600,107.1200,114.0100,77573695,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-07,113.0300,113.8000,110.1500,112.9700,53061797,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-08,114.5000,115.5000,108.0000,108.4800,61622639,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-11,107.0000,107.0000,99.1300,101.1900,65377459,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-12,102.1000,103.9800,98.5000,100.4800,51515133,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-13,98.6800,102.2900,96.5200,100.9500,51110414,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-14,100.0000,101.6300,97.7000,100.4100,41180864,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-15,99.0000,104.7900,98.6600,100.0200,44384014,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-18,100.7000,101.8000,97.3800,100.2500,38280881,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-19,100.2700,101.4500,98.0300,98.2000,34603670,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-20,99.1000,101.0000,98.0600,98.4400,31390566,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-21,98.0100,98.0800,92.9800,93.0000,55628556,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-22,94.0000,94.2800,92.0000,93.2000,29502311,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-25,93.0000,93.9000,91.5000,91.5100,24987173,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-26,91.5200,96.0000,91.5200,93.7900,39920578,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-27,93.8000,93.8500,91.2800,92.8000,20917227,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-28,93.5200,93.7100,90.6800,90.8200,30297715,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-07-29,91.0000,91.6600,89.1100,89.1100,25226733,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-01,89.2000,92.2800,88.6200,92.2000,35271952,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-02,90.4500,90.7700,87.4800,88.0900,38806904,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-03,89.6000,90.6700,86.5700,87.0400,31348628,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-04,88.0000,90.4800,87.0100,89.0600,29256019,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-05,88.8000,91.1800,87.3700,90.9500,34432873,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-08,90.4000,92.7000,89.8000,91.1900,29978393,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-09,91.9700,93.0000,91.0700,92.3900,27720648,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-10,92.4200,93.3500,89.6400,90.5000,25929537,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-11,91.0100,91.5000,89.2500,91.4900,24969714,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-12,91.0400,94.4800,91.0000,91.7000,27130233,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-15,91.3200,94.9800,91.2600,93.7800,34284715,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-16,93.7900,94.2500,92.0000,92.4100,24502229,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-17,92.1000,92.4100,90.0100,91.1200,24052812,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-18,90.6900,92.2000,90.2500,90.4700,18893987,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-19,90.0000,91.3900,88.8600,89.0900,19526766,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-22,89.0000,94.0800,87.5800,93.8100,50217602,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-23,93.7000,94.3700,92.0000,92.9200,28870338,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-24,93.5000,94.2000,89.7000,89.9100,31898697,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-25,90.3000,90.6000,84.0300,86.0400,45495790,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-26,86.2300,92.3600,85.8900,89.9100,52553843,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-29,88.8500,90.4700,87.7300,89.7900,22320459,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-30,90.4400,91.2700,88.7700,90.5600,22647025,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-08-31,88.8000,90.4800,84.5300,85.7000,45675629,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-01,85.7100,86.0000,83.8800,84.0500,23417527,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-02,84.8000,84.9800,82.2000,82.8600,22685693,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-05,81.9000,82.7400,80.1700,81.1000,29464578,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-06,81.6000,84.1900,80.8300,83.5700,30083673,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-07,82.6900,85.2000,82.5300,84.1700,23869653,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-08,84.3200,84.4900,82.5500,82.5900,17479178,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-09,83.4400,84.4800,82.6500,84.0600,22247135,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-13,84.8800,85.5800,83.4800,84.4800,20341849,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-14,83.0000,84.9900,82.6600,83.4200,22152629,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-15,84.2000,86.2800,80.6500,81.0800,36019315,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-16,79.8000,79.8000,76.4400,78.0300,28093461,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-19,78.0400,82.5300,78.0000,81.1800,31599054,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-20,82.3300,85.8000,81.8000,83.9000,38483674,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-21,83.0600,84.2200,82.6700,83.0800,21382953,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-22,82.8300,83.5500,81.5100,82.1100,16543754,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-23,82.0000,82.4300,79.0200,80.2600,20765063,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-26,79.0500,80.9500,78.7600,79.2800,18002939,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-27,80.0100,80.3800,76.3700,78.9600,26116926,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-28,78.2100,78.5100,75.0000,75.0200,23862445,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-29,76.5000,78.3000,76.2000,76.7600,28841261,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-09-30,76.3000,76.7500,74.8000,74.8400,19326569,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-10,74.8000,74.9500,72.2000,72.2500,16873745,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-11,73.7300,75.0000,72.6100,74.1100,19011796,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-12,73.9600,75.5500,71.8500,75.5500,23023772,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-13,74.8200,75.2100,73.0200,73.4300,20747035,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-14,74.6100,78.0800,74.2200,77.3000,37442002,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-17,78.8000,80.3200,77.6600,79.2000,45245286,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-18,80.5800,80.9600,78.8400,79.2000,27618861,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-19,79.2200,81.3700,78.6900,78.7400,29274360,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-20,78.0000,79.5000,76.7800,78.4500,23208444,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-21,78.8000,78.8000,76.8100,77.3000,18365069,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-24,78.9700,80.6000,76.7800,77.6500,30057177,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
