time,open,high,low,close,volume,note
2026-04-16,23.0600,23.2500,22.8900,23.0800,8740464,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-17,23.1000,23.2000,22.7600,22.9200,5828000,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-20,22.8100,22.9700,22.6800,22.8400,8277201,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-21,22.9700,23.3500,22.8500,23.0800,11572203,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-22,23.0000,23.7400,22.9100,23.7200,14796333,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-23,23.7000,24.4800,23.5500,24.3400,20002599,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-24,24.2000,24.5500,24.1700,24.2600,10512000,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-27,24.2500,24.9000,24.1200,24.4700,14772255,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-28,24.3600,24.8800,24.3600,24.5100,10117750,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-29,24.3500,25.1800,24.3300,25.0600,13191183,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-04-30,25.0500,25.8600,24.8000,25.6000,18175331,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-06,25.5800,25.5900,25.0200,25.3100,17291170,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-07,25.3300,25.7600,24.7700,25.0700,16391274,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-08,25.0000,25.1000,24.5500,24.9200,10459012,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-11,24.9600,25.6400,24.7300,25.3000,12999227,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-12,25.2900,25.4600,24.9800,25.2400,8107804,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-13,25.0000,25.3300,24.8300,25.1800,8263892,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-14,25.1800,25.3000,24.9300,25.0700,8516642,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-15,25.2800,26.1400,25.2400,25.4700,16022965,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-18,25.8000,26.0000,24.4600,24.6000,16337133,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-19,24.4000,24.5900,24.0600,24.1700,9635337,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-20,24.1800,24.9800,23.9700,24.7200,10113444,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-21,24.5500,25.5500,24.5500,24.9300,11873454,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-22,24.8800,25.1700,24.6000,24.9200,7993276,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-25,24.9000,26.5000,24.8300,26.3200,18130045,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-26,26.2000,26.9500,26.0000,26.8000,14515525,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-27,26.5000,26.9000,26.0900,26.4300,12520094,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-28,26.4300,26.4400,25.3500,26.0900,12715312,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-05-29,26.1000,26.9700,25.6000,25.8200,14375996,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-01,25.7000,26.2800,25.5200,26.1400,13220389,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-02,26.9200,27.8200,25.6000,26.0100,16673689,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-03,25.9900,26.0100,24.9300,25.0600,13531697,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-04,25.5000,25.8500,24.9000,25.0200,11074100,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-05,25.1300,26.3500,24.7000,25.4500,15849719,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-08,24.9800,26.3400,24.8900,25.8000,18316327,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-09,25.8200,26.1800,24.7600,25.3800,13286046,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-10,25.1500,26.6700,24.8000,25.8200,17606120,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-11,25.8400,28.3800,25.6600,27.9800,38762043,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-12,27.5700,27.9200,26.4000,27.7300,40220298,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-15,27.2000,27.5800,26.1800,27.0900,34039295,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-16,27.0000,27.0500,25.8200,26.4600,27591946,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-17,26.3000,26.4900,25.5100,25.6600,16913102,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-18,25.4000,25.6200,24.2400,25.0000,22463312,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-22,24.7400,24.8700,24.3600,24.4700,15124961,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-23,24.5900,25.6800,24.4400,25.3800,19736448,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-24,25.3800,25.5300,24.1700,24.3300,11869240,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-25,24.4000,26.0700,24.3300,25.2800,20564677,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-26,25.2800,25.9800,24.8000,25.4200,14678580,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-29,25.4300,27.2800,25.2700,26.9200,24966930,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-06-30,26.9100,28.6000,26.7000,27.8700,25648718,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-07-01,27.8700,27.8700,26.5800,27.0800,13194164,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-07-02,26.8000,27.2700,26.3800,26.7800,12496636,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-07-03,26.7100,27.8600,26.5800,27.5200,14294117,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-07-06,27.6000,28.3600,27.0000,27.9200,14443466,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-07-07,27.6500,28.1500,27.4100,27.6200,11761575,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-07-08,27.5800,28.4100,27.3300,27.3300,10710368,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
2026-07-09,26.8900,27.6200,26.7100,27.2900,12266702,sh.600060 | 海信视像 | baostock | adjustflag=3 raw
