time,open,high,low,close,volume,note
2020-09-17,112.0000,115.2000,109.0100,112.9300,14059950,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-18,112.5000,115.1500,110.7400,114.7000,14030832,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-21,117.4500,125.0000,116.0800,120.6700,27010151,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-22,119.1000,122.1400,118.2500,119.2300,12432516,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-23,120.7000,121.0000,115.6600,118.3000,10752967,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-24,116.9800,118.2800,115.4600,115.4800,6895355,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-25,116.3000,116.9800,114.8000,115.2000,6103042,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-28,114.7600,116.5600,111.9000,113.9900,8327243,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-29,115.1900,120.8300,114.5500,117.8900,13142840,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-09-30,118.2000,119.4500,116.7700,118.7800,8503801,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-09,121.1600,121.8500,118.5700,119.5900,11595224,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-12,120.8000,126.3800,120.7000,124.5400,17910597,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-13,124.0100,130.3300,123.0500,129.6300,20894007,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-14,128.0200,131.7000,126.0000,126.4900,14088769,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-15,127.0000,128.3000,124.0300,124.6500,8663183,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-16,124.6400,125.5300,121.0300,122.0000,9085852,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-19,123.9800,125.5000,122.0000,124.1100,8162974,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-20,123.8800,126.6800,123.8800,126.2800,9106377,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-21,124.3600,124.3600,113.6500,113.6500,26154296,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-22,109.0000,114.5800,107.0000,110.5800,17199731,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-23,111.0000,112.9400,107.5500,108.7000,10239513,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-26,108.7000,108.7000,102.0000,103.4000,16970346,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-27,102.2500,104.7900,100.3300,102.3000,14285819,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-28,103.6600,107.4300,102.2800,105.6000,13895782,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-29,103.1300,107.8800,102.5800,105.0200,12049551,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-10-30,105.4000,111.6100,105.2100,107.3200,19065194,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-02,107.8200,108.5000,100.2800,103.1900,19218683,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-03,103.1800,108.3100,101.9900,108.3000,14786640,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-04,108.5000,109.2600,106.0300,107.3500,9086603,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-05,109.0000,109.9300,104.3300,106.6600,14975254,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-06,107.7000,108.2700,104.4000,105.7000,11280500,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
