time,open,high,low,close,volume,note
2026-03-27,7.5700,7.7100,7.4500,7.6700,5796464,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-30,7.6200,7.8000,7.6200,7.7800,6647004,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-03-31,7.7900,7.9100,7.6900,7.7200,6799601,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-01,7.8400,7.8700,7.6600,7.7200,6561300,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-02,7.7200,7.8100,7.5700,7.6300,5808467,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-03,7.6400,7.6700,7.3400,7.3700,5294117,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-07,7.3500,7.6400,7.3200,7.5800,6662067,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-08,7.7100,7.8100,7.6300,7.7700,6476900,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-09,7.7700,7.7800,7.5900,7.6200,5199060,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-10,7.6400,7.7900,7.6000,7.6900,5839160,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-13,7.6200,7.7400,7.6100,7.7200,5944911,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-14,7.6600,7.7100,7.2400,7.3600,17987800,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-15,7.3700,7.4000,7.2200,7.2200,11364900,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-16,7.2400,7.3900,7.1600,7.3700,10301600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-17,7.3800,7.8300,7.3800,7.6200,17781200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-20,7.6800,7.7700,7.4500,7.5700,10306552,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-21,7.5900,7.5900,7.4400,7.5000,7917060,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-22,7.5200,7.5200,7.3900,7.4300,6085560,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-23,7.4100,7.4500,7.2700,7.3500,7049600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-24,7.3500,7.4700,7.2800,7.4200,6614160,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-27,7.4300,7.5300,7.3100,7.4900,7579201,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-28,7.4100,7.5700,7.4000,7.5000,8705110,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-29,7.5100,7.7600,7.4500,7.7300,7935180,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-04-30,7.7200,7.8300,7.6900,7.7700,7735600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-06,7.8100,7.8900,7.6900,7.8600,11608681,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-07,7.8500,7.8900,7.6600,7.6700,8482128,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-08,7.7200,7.9100,7.6700,7.8700,9605828,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-11,7.8900,7.9300,7.7500,7.9200,8017300,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-12,7.8500,7.9600,7.7100,7.7600,6834889,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-13,7.7600,7.9200,7.7000,7.7900,10228660,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-14,7.7900,7.8200,7.6500,7.6500,6762356,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-15,7.6500,7.6800,7.3700,7.4500,8230200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-18,7.4800,7.4900,7.3100,7.4800,6202700,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-19,7.4900,7.5500,7.3700,7.4700,4553637,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-20,7.4600,7.4700,7.2600,7.2900,5991096,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-21,7.3500,7.4300,7.0600,7.1000,7139000,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-22,7.1100,7.2000,6.9800,7.1600,6192400,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-25,7.2000,7.2900,7.0500,7.1300,5482388,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-26,7.0300,7.1200,6.8300,6.9000,7066100,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-27,6.8800,6.9100,6.6600,6.7200,6081500,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-28,6.7200,6.8600,6.6700,6.8100,5020300,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-05-29,6.7800,6.9100,6.6500,6.6800,6498500,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-01,6.6400,6.9800,6.6000,6.9600,7334753,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-02,6.9500,7.0100,6.6900,6.7300,6753600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-03,6.7300,6.7500,6.5700,6.6100,6895010,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-04,6.5700,6.6500,6.4100,6.4400,7013500,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-05,6.4500,6.6400,6.3800,6.5500,5795601,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-08,6.4400,6.6100,6.3600,6.4500,5653540,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-09,6.4500,6.5100,6.3500,6.4400,3916110,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-10,6.3200,6.4500,6.2800,6.3800,4042710,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-11,6.3700,6.3800,6.1900,6.2800,4263000,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-12,6.3000,6.3500,6.1600,6.3100,5157000,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-15,6.3400,6.4600,6.2000,6.2300,7315100,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-16,6.1900,6.2000,6.0400,6.1500,4622701,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-17,6.1500,6.1500,5.9800,6.0400,4385900,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-18,5.9900,6.0800,5.8800,6.0200,5273900,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-22,6.0100,6.0700,5.7600,6.0600,5082543,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-23,6.0500,6.2700,6.0100,6.1700,5598600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-24,6.1600,6.2300,5.8700,5.9400,5858684,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-25,5.9000,5.9400,5.7700,5.8100,4504333,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-26,5.7800,5.8400,5.6700,5.6800,4697943,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-29,5.7300,5.7800,5.5200,5.7400,5565801,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-06-30,5.7300,5.7800,5.5800,5.6300,4722600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-07-01,5.6200,5.9400,5.5800,5.8500,7013200,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-07-02,5.8800,6.0100,5.8200,5.8700,4929600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-07-03,5.9200,6.0500,5.8900,6.0300,4447067,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-07-06,6.0400,6.0800,5.9400,5.9700,3357144,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-07-07,5.9700,6.0100,5.7600,5.8200,4095600,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-07-08,5.8000,5.8200,5.7200,5.7500,2667364,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
2026-07-09,5.7700,5.8200,5.6500,5.7400,3026720,sh.600051 | 宁波联合 | baostock | adjustflag=3 raw
