time,open,high,low,close,volume,note
2024-10-15,8.8300,8.8800,8.5500,8.5900,48975757,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-16,8.4000,8.5000,8.0800,8.1600,65661974,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-17,8.2200,8.3000,8.0700,8.1000,49608854,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-18,8.0600,8.6600,7.9700,8.5500,100919794,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-21,8.7000,9.2300,8.6000,8.9000,126074629,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-22,8.7700,9.1700,8.3800,9.1500,121553770,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-23,9.0000,10.3400,8.8200,9.4500,172920917,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-24,9.4100,9.5800,9.0000,9.0000,96876026,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-25,9.0500,10.3400,9.0000,9.7800,208111833,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-28,9.8600,9.8600,9.3200,9.5100,104053463,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-29,10.0300,10.4000,9.3700,9.3900,107852553,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-30,9.1000,9.4500,9.0500,9.1800,68471036,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-10-31,9.3700,9.6800,9.3700,9.4700,100541508,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-01,9.4400,9.5100,9.1500,9.2000,64242103,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-04,9.1000,9.4000,9.0600,9.1500,53923661,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-05,9.2000,9.3800,9.1000,9.2800,71181856,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-06,9.3000,9.4500,9.1100,9.1300,78821647,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-07,8.8300,8.8500,8.4000,8.8400,112180520,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-08,8.8600,9.0800,8.8500,8.9400,92976680,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-11,8.8700,9.1800,8.8100,9.0600,98659542,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-12,9.1000,9.3100,8.9100,9.0100,97468175,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-13,9.0300,9.1000,8.8500,9.0400,71791758,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-14,9.0500,9.1600,8.7300,8.7500,58216250,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-15,8.7500,8.8000,8.4300,8.4400,48016683,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-18,8.4000,8.5700,8.2700,8.3100,47409470,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-19,8.3400,8.7100,8.3300,8.6500,57003849,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-20,8.6500,8.7700,8.5700,8.6700,44635929,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-21,8.9800,9.0400,8.6300,8.7500,59360399,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-22,8.7500,8.7500,8.4100,8.4100,46103043,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-25,8.4000,8.6000,8.3700,8.6000,41724006,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-26,8.5300,8.7400,8.4500,8.4900,33366533,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-27,8.5600,8.7900,8.4300,8.7500,49921788,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-28,8.7900,8.8700,8.7000,8.7200,36639763,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-11-29,8.7800,8.8200,8.6200,8.7500,49083392,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-02,8.6600,8.8100,8.4100,8.7900,49764841,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-03,8.9500,9.0800,8.7900,8.9000,54406989,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-04,8.9100,8.9700,8.6400,8.6800,49806039,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-05,8.7000,8.8000,8.6100,8.7900,30222885,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-06,8.8000,8.8700,8.5100,8.8500,55676040,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-09,8.8500,8.8500,8.6100,8.6700,31389654,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-10,8.9300,8.9900,8.6400,8.6700,43524157,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-11,8.6500,8.7300,8.6100,8.6400,28991494,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-12,8.6600,8.6600,8.5500,8.6000,29836177,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-13,8.6000,8.6600,8.3900,8.5600,54067339,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-16,8.5400,8.5600,8.3300,8.3500,38915249,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-17,8.3500,8.3800,8.2300,8.2400,23598706,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-18,8.3300,8.3300,8.1200,8.1600,26473508,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-19,8.0600,8.1700,8.0200,8.1200,30774462,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-20,8.1000,8.1400,7.9100,7.9300,49371781,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-23,7.9200,7.9500,7.7600,7.7700,37277027,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-24,7.8100,8.0500,7.8000,7.9000,43658062,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-25,8.0000,8.0400,7.7200,7.7800,32419490,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-26,7.7500,7.7800,7.5900,7.6000,39006107,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-27,7.6200,7.6200,7.3500,7.4300,64585292,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-30,7.4000,7.4500,7.2600,7.3100,46078061,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2024-12-31,7.3100,7.3900,7.1100,7.1100,52417158,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-02,7.1100,7.1700,6.9500,7.0100,53715256,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-03,7.0400,7.1100,6.9300,6.9300,37024602,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-06,6.9400,7.0700,6.8600,6.9200,36572777,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-07,6.9000,6.9300,6.7100,6.7900,49684605,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-08,6.7600,6.8600,6.6500,6.7400,40185866,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-09,6.7300,6.8200,6.6000,6.6400,43987374,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-10,6.6100,6.6600,6.3600,6.3700,48774182,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-13,6.3600,6.4800,6.3000,6.4000,40297392,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-14,6.4200,6.5500,6.3700,6.5400,71368301,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-15,6.5400,6.6400,6.3700,6.6100,102776300,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-16,6.5500,6.8600,6.5300,6.7400,82778913,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-17,6.7700,6.7900,6.4700,6.5200,79148736,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-20,6.5200,6.5900,6.3800,6.4100,48787895,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-21,6.4500,6.4700,6.2400,6.2500,54997742,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-22,6.2300,6.2500,6.1200,6.2000,43513882,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-23,6.2300,6.3100,6.1500,6.1500,57378762,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-24,6.1500,6.2600,6.1000,6.1800,54593844,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-01-27,6.1600,6.3000,6.1200,6.1200,50086713,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-05,6.1500,6.2200,6.0200,6.1100,51291030,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-06,6.0900,6.2800,6.0300,6.2700,70091294,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
