time,open,high,low,close,volume,note
2022-07-12,234.5400,236.0000,225.6800,230.0000,6191985,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-13,230.1000,234.6000,220.8100,229.0800,7916742,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-14,229.6000,241.5700,227.4500,239.0000,6688702,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-15,241.5000,242.1100,236.1900,237.0000,4628773,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-18,238.0000,238.6200,224.0000,229.8000,10232202,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-19,233.0000,233.0000,222.9500,225.2300,7505080,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-20,226.3000,226.8600,221.0000,222.1600,6298764,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-21,222.0000,224.3800,216.8800,217.0000,5142445,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-22,219.1300,219.5000,215.0700,216.6800,4468083,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-25,217.2600,222.6200,215.5000,219.0100,6638853,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-26,219.0200,227.8000,218.0100,224.9300,6231899,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-27,224.0300,224.9000,217.0500,223.4700,5465123,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-28,224.0000,224.5000,214.6100,216.9700,6844377,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-07-29,216.1000,219.3600,212.0000,213.9800,5109819,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-01,212.7900,224.3300,209.0000,223.0700,7402127,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-02,220.8800,228.3500,217.8200,223.0000,6217255,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-03,224.9800,226.9800,218.0400,219.6600,4344452,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-04,219.0000,220.8000,211.9500,213.5000,5721398,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-05,213.5500,217.8300,212.1800,215.5500,3245250,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-08,214.0100,214.8000,210.5000,213.0100,6124484,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-09,213.0300,217.5000,211.8000,212.9100,4249200,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-10,213.8000,214.4500,208.0300,208.6600,4975825,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-11,210.0800,213.5000,204.0000,213.3900,7195269,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-12,213.0000,215.0000,211.0100,212.9200,4402646,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-15,212.0000,223.6100,211.2800,215.8000,5845543,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-16,216.4000,227.8300,216.3900,223.0000,7532943,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-17,223.0000,223.0200,217.5000,218.9800,5782343,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-18,218.8200,218.8200,205.6900,206.8700,11617861,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-19,208.9000,209.0000,197.0300,197.9000,14752848,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-22,200.0000,206.3000,197.6700,205.7500,8577536,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-23,206.0000,207.4300,201.5000,206.6000,6339716,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-24,206.6000,207.6800,201.1800,201.8000,4532593,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-25,201.9500,203.8000,198.0000,201.7500,3476517,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-26,201.7500,203.8500,199.2600,200.0100,3686636,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-29,198.5000,199.4800,193.5000,195.9900,5627185,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-30,195.0000,197.3000,191.7900,193.8000,4502194,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-08-31,193.5500,197.5900,191.9800,193.0000,6631606,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-01,193.6600,199.4900,192.0000,194.1800,5221849,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-02,197.0500,198.7700,188.5600,190.0000,5402515,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-05,189.4300,192.0500,187.5800,189.4100,3352431,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-06,190.9900,191.0000,181.1300,189.3200,7757640,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-07,187.3000,195.9700,186.5000,192.9000,5888886,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-08,194.0100,194.0100,185.1900,185.2200,5954936,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-09,187.4400,188.4900,183.1700,188.2000,5113492,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-13,188.3400,189.0000,185.3100,187.7500,4092849,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-14,185.7500,186.9900,181.1100,181.7800,5201984,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-15,182.1700,185.9900,176.7200,178.0200,6520763,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-16,176.9100,180.3000,174.3300,176.1800,4881101,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-19,176.3400,179.8700,174.4900,177.8000,4371705,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
