time,open,high,low,close,volume,note
2023-06-30,310.0500,319.9800,307.0500,317.6500,5070132,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-03,322.9800,324.9800,298.8900,303.9200,10885916,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-04,302.9100,310.7700,301.0000,306.5400,5294587,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-05,304.0200,305.3000,294.0000,295.0000,7317508,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-06,293.5000,294.0000,286.0100,289.9900,5468220,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-07,288.1100,288.1100,283.6500,285.1400,4333891,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-10,284.0100,287.9900,283.3200,286.4800,3836415,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-11,286.2000,294.1100,285.0100,293.7700,6319468,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-12,293.0000,293.0000,284.0000,284.7600,6163541,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-13,285.1500,290.6300,284.6600,289.5300,5025079,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-14,290.4000,299.1000,287.7700,298.9000,9719972,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-17,300.0000,302.0000,286.5800,288.7000,10239692,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-18,288.0000,290.8800,285.5000,286.5600,5636857,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-19,285.1300,287.5000,272.9800,276.6300,10152381,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-20,276.6000,278.8000,274.5000,276.9700,4505292,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-21,274.9800,274.9800,268.1800,269.3800,6236331,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-24,268.0000,270.1600,266.8000,267.4400,3080181,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-25,269.9900,278.7300,267.8900,274.5100,5557319,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-26,272.9400,281.3000,272.5200,277.7600,6139881,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-27,276.0100,277.4900,273.0300,273.8300,3317154,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-28,273.8500,278.8000,273.2500,276.0000,4021883,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-07-31,276.0000,285.0000,275.0000,283.8300,7014582,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-01,283.6800,283.6800,278.4500,281.6800,4305123,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-02,280.0000,285.6800,279.0100,283.2900,5233949,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-03,281.3200,287.2300,280.8000,283.8000,3877003,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-04,284.3300,285.8000,278.2200,281.5100,4825879,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-07,280.4700,283.9500,280.0300,283.1000,2801004,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-08,282.4900,284.9800,281.9700,283.3900,2574901,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-09,282.2000,282.9900,278.3000,280.5200,3203029,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-10,280.4800,288.8800,280.4500,284.6600,4634259,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-11,284.7500,285.9600,278.6000,278.6000,3597636,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-14,275.4300,276.5000,272.7200,273.0100,3268500,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-15,274.0100,275.8800,265.5500,271.0100,3835250,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-16,270.0300,273.2000,261.4500,261.5500,4692406,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-17,261.2800,267.8300,259.4000,264.1200,3610112,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-18,263.8000,264.6900,257.0000,257.0000,3390992,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-21,258.5900,261.5900,255.5800,255.6700,2855057,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-22,257.0800,259.1300,250.3300,257.7500,4498356,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-23,257.7600,258.1300,250.7100,251.1200,2611326,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-24,253.0200,262.3500,251.5300,259.8300,5407293,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-25,256.7600,259.4500,255.3600,257.0000,3358183,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-28,272.2200,274.1500,251.9800,254.0000,6895941,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-29,250.2900,262.0300,250.1200,261.4100,5547948,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-30,266.5000,274.8800,264.0000,268.1500,8775109,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-08-31,267.9900,273.0400,264.0000,271.2600,6208535,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-01,273.9800,283.4700,272.3600,273.0200,7523664,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-04,275.0600,276.0000,268.1000,271.0000,6370643,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-05,271.8300,274.4800,269.8800,271.3000,5907670,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-06,270.0300,280.5000,269.0000,280.4000,10449743,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-07,276.9900,277.3000,264.2300,264.5000,9621294,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-08,262.7500,268.5000,262.0000,266.5000,5057000,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-11,265.0000,267.9700,259.0700,266.1100,5424297,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-12,264.1100,266.3700,263.8800,264.0000,2688280,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-13,262.6200,265.2900,258.0200,259.6500,3853927,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-14,259.6700,261.0000,251.0000,251.9600,6574204,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
