time,open,high,low,close,volume,note
2026-03-30,11.3000,11.4700,11.1700,11.4100,7767771,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-03-31,11.2100,11.3400,10.8100,11.0900,12048470,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-01,11.2500,11.3000,11.0500,11.1100,7457558,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-02,11.1000,11.1400,10.8800,10.9500,7193901,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-03,10.9500,11.0600,10.7100,10.7500,7050540,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-07,10.7200,10.8700,10.7200,10.8300,6282981,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-08,11.0700,11.2800,10.9900,11.2500,10297294,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-09,11.1100,11.1900,11.0000,11.0300,7796185,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-10,11.1200,11.3100,11.1200,11.1700,8361201,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-13,11.2300,11.2600,11.0600,11.0900,9516865,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-14,11.0900,11.1900,10.8900,11.0300,8813568,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-15,11.1300,11.1300,10.8000,10.9200,12432071,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-16,10.9000,11.2000,10.9000,11.1200,10797354,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-17,11.0800,11.2000,10.9000,11.1400,9764809,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-20,11.1300,11.4000,11.0800,11.2800,13792426,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-21,11.2800,11.5600,10.9800,11.2100,19597711,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-22,11.2000,11.3300,11.0700,11.2300,10792680,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-23,11.2300,11.3500,11.0600,11.2100,10218500,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-24,11.1600,11.2800,11.0000,11.0700,9065949,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-27,11.0500,11.1000,10.8700,10.9100,8172805,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-28,10.9000,11.0100,10.6600,10.7300,7126518,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-29,10.6800,11.4500,10.6600,11.2700,17541780,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-04-30,11.1400,11.3800,11.0600,11.1200,11739327,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-06,11.2900,11.4600,11.1400,11.2800,13713203,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-07,11.3700,11.4000,11.2000,11.3800,10620157,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-08,11.3400,12.1500,11.3000,11.7800,23762214,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-11,11.7800,12.0700,11.6900,11.7700,21872304,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-12,11.8200,11.8800,11.5600,11.6400,14077472,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-13,11.6100,11.7900,11.5200,11.7000,11663403,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-14,11.6800,11.6800,11.2000,11.2400,12697201,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-15,11.2300,11.2900,10.7400,10.8100,15903843,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-18,10.7600,11.2300,10.5500,11.1000,17896699,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-19,11.0900,11.2000,10.9100,11.1500,8442203,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-20,11.1000,11.1900,10.8700,10.9200,9135367,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-21,10.9000,11.0100,10.2200,10.2400,13757221,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-22,10.3200,10.6800,10.2200,10.5200,10027042,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-25,10.5200,10.6900,10.3000,10.4000,8578793,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-26,10.3000,10.7500,10.2700,10.6600,12541525,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-27,10.5600,10.6600,10.1300,10.2400,10705901,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-28,10.3600,10.4000,9.9700,10.3000,12049499,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-05-29,10.2800,10.3000,9.9800,10.0200,8604825,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-01,9.9900,10.1700,9.9300,10.0600,8117409,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-02,10.0200,10.2000,9.7500,10.0200,11370700,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-03,10.0100,10.2600,9.9000,10.0000,7703300,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-04,9.9900,9.9900,9.6500,9.7200,10377600,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-05,9.7000,9.9100,9.5800,9.7300,9202801,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-08,9.5200,9.6500,9.1500,9.3000,14297300,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-09,9.5400,9.5800,9.1700,9.4000,10182001,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-10,9.4500,10.3400,9.3800,10.3400,8778859,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-11,10.9000,10.9500,9.7400,9.8100,43435165,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-12,9.8100,10.7500,9.6700,10.3000,35957938,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-15,10.3400,10.9500,10.1800,10.8900,29721135,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-16,10.9000,11.1500,10.5300,10.5700,19426900,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-17,10.5100,10.6400,10.3000,10.3300,13382890,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-18,10.3400,11.0000,10.1900,10.2800,19230430,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-22,10.4000,11.3100,10.3000,11.3100,17904558,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-23,11.1400,11.4900,10.8500,10.8600,29933410,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-24,10.8000,10.9400,10.6000,10.7000,17990730,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-25,10.8000,11.7700,10.7200,11.7700,26133945,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-26,11.7700,12.6500,11.5700,11.8800,45891122,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-29,11.8400,12.4500,11.2100,11.2800,32390337,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-06-30,11.5100,11.9400,11.0800,11.5500,27019104,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-07-01,11.4500,11.5000,11.0600,11.4000,25972470,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-07-02,11.2100,11.5900,11.1000,11.2800,19586374,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-07-03,11.2300,11.3300,10.6800,10.7500,20426803,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-07-06,10.6000,10.6500,10.1600,10.3400,16075272,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-07-07,10.2300,10.7000,10.2000,10.4500,12242031,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-07-08,10.4200,10.6000,10.0000,10.6000,11760953,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
2026-07-09,10.5000,11.6500,10.1800,11.3000,21066427,sh.600058 | 五矿发展 | baostock | adjustflag=3 raw
