time,open,high,low,close,volume,note
2019-11-20,80.3200,82.1900,80.3200,80.6800,554805,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-21,80.7300,82.2800,79.3800,81.9500,644041,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-22,83.5900,86.2000,82.1800,83.2000,1465477,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-25,81.6200,85.5800,80.5100,84.4800,1298197,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-26,83.5800,87.1300,83.5800,86.1800,1240195,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-27,85.5000,91.9600,85.5000,91.6800,1798178,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-28,90.4000,91.8100,88.4100,89.2000,1037331,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-11-29,89.0300,93.1700,88.9000,90.8300,785663,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-02,90.1600,91.0000,87.2500,88.0000,726807,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-03,88.1100,88.1100,84.7000,86.6900,759854,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-04,86.1800,88.2000,85.5300,86.4000,468718,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-05,86.8000,89.1600,86.4600,89.0000,628883,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-06,88.6000,89.1800,86.1900,87.1800,762425,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-09,86.9000,87.8000,84.7800,86.1100,731200,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-10,85.7800,89.1700,85.4100,88.4400,785100,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-11,88.1100,88.4500,86.1900,86.7200,506950,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-12,86.8100,88.2700,86.1900,86.8400,490794,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-13,87.8300,89.9700,87.3800,89.4000,909894,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-16,90.4000,93.9900,90.4000,93.9800,1196014,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-17,95.0000,95.9300,93.0000,94.7000,1089000,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-18,94.9100,94.9100,92.3300,92.7700,677274,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-19,92.5500,93.8500,91.9000,92.7000,347315,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-20,93.3000,95.2900,92.7700,92.8500,598315,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-23,91.8100,96.5800,91.6000,94.6900,959740,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-24,96.0000,104.1600,94.7600,101.8700,1818205,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-25,102.1000,112.0600,102.1000,112.0600,2140335,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-26,111.0000,113.1200,107.8900,111.3600,1318952,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-27,112.8000,116.7000,108.2800,109.8000,1317439,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-30,112.0000,118.3200,108.5500,113.8200,1785233,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-12-31,112.7300,116.9900,111.3800,113.8900,887759,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-02,112.0000,116.1000,110.8000,115.0200,1248404,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-03,116.0000,116.0000,113.2100,114.8200,823040,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-06,113.3000,126.3000,113.1200,124.3000,1458913,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-07,121.9000,129.9000,120.3600,124.7000,1129285,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-08,125.2200,128.0000,122.8000,124.5000,585755,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-09,127.5000,130.7500,121.4400,123.0000,919010,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-10,121.7700,132.5000,121.7500,129.6000,1122037,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-13,128.0000,142.5600,128.0000,142.5600,1250578,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-14,149.0000,153.8800,138.6700,145.0000,1323402,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-15,144.5500,147.9900,139.1100,141.0000,1066866,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-16,142.0000,153.0000,140.5000,151.0100,1146565,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-17,145.6900,151.6400,140.8000,144.2000,1304480,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-20,145.0000,147.0000,139.6000,144.0700,685408,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-21,144.0000,149.0000,141.5100,145.5500,562170,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-22,143.2500,151.8000,141.3900,147.9200,1028570,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-01-23,147.0000,148.2000,133.2000,135.9700,981594,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-03,122.3700,123.4500,122.3700,122.3700,502302,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-04,124.0000,134.6100,124.0000,134.6100,1246132,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-05,142.3900,148.0700,138.4000,148.0700,1153400,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-06,143.8800,162.8800,142.0000,162.8800,1368237,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-07,161.0100,175.5100,161.0100,172.3600,1237531,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-10,170.8000,189.6000,167.0000,189.5900,1234657,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-11,184.2200,189.5900,176.0000,179.0800,844270,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-12,173.0500,183.0000,172.3900,180.0700,651302,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-13,177.9800,180.0700,169.0000,171.5300,1111126,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-14,173.8900,173.8900,166.9900,168.5800,962043,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-17,174.0000,175.0000,169.0000,172.0400,687795,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-18,172.0000,182.4900,168.0500,178.6100,1046900,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-19,196.4700,196.4700,196.4700,196.4700,155315,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-20,216.1200,216.1200,216.1200,216.1200,494896,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-21,216.5000,232.0000,204.0000,219.9600,2527995,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-24,200.6600,209.7000,197.9600,197.9600,803729,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-25,178.1700,197.8800,178.1600,189.0000,2628959,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-26,180.5000,184.0000,170.1000,173.5000,1566339,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-27,173.6400,185.8400,173.6400,180.5600,1359225,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-02-28,165.0000,172.2900,162.5000,162.5000,1331348,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-02,153.0000,170.0000,153.0000,165.0000,1303632,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-03,167.1300,178.5000,167.0000,171.5600,1088106,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-04,167.5000,169.8600,160.0800,167.7800,748200,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-05,173.0000,178.7600,170.1000,174.7600,1059670,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-06,170.9900,179.4900,169.0100,173.5000,826100,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-09,165.0000,168.0000,156.1500,156.1500,1083783,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-10,157.0000,164.8800,150.1500,163.3900,1014417,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-11,168.6000,179.7300,168.3300,172.2900,1797750,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-12,162.9900,172.0000,160.0000,166.9000,1176163,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-13,160.8300,163.4700,155.0000,159.9000,977536,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-16,160.6500,161.5000,143.9100,145.8600,1359609,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-17,146.0000,148.8700,135.0100,141.8300,976001,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-18,142.6800,153.0000,142.0000,143.2400,1344696,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-19,146.0000,146.4000,138.5500,141.5000,1113173,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-20,144.9900,146.4000,137.0000,140.2900,887613,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-23,134.5000,135.9900,126.3000,126.4700,1014816,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-24,131.6900,132.2300,120.3000,126.5000,985800,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-25,131.4000,134.8000,128.8500,131.6000,997746,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-26,133.8000,141.9600,128.4500,130.4500,1533916,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-27,133.1000,136.0300,128.5000,128.9400,947300,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-30,128.0000,136.3300,120.2000,132.8500,1536286,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-03-31,134.5800,140.5200,127.0000,140.5200,1305377,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-01,141.5000,145.3000,137.8900,138.2000,1192000,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-02,135.8700,140.4000,135.0000,139.8000,794912,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-03,139.0000,143.0500,138.1700,138.5800,699700,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-07,141.0000,144.6000,140.1100,142.1000,691011,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-08,142.0000,143.5000,138.5700,140.7400,543400,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-09,143.0000,143.0000,137.0100,138.2000,588800,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-10,136.0900,136.8000,128.0000,128.0200,806678,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-13,127.9100,128.1600,122.0600,122.5900,517202,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-14,125.5000,134.5000,123.5500,132.0400,1650070,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-15,132.0000,139.5000,130.2600,133.2900,1201425,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-16,130.5200,136.6600,128.6200,134.1000,978333,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-17,134.5800,138.5500,133.0200,137.8000,1091500,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-20,138.0000,139.8900,134.7900,139.2200,744297,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-21,137.4000,139.5300,126.0000,136.8600,879700,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-22,134.0000,141.6800,133.6000,139.0500,827552,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
