time,open,high,low,close,volume,note
2020-04-21,14.7000,14.7300,14.3600,14.5800,21882377,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-22,14.5000,14.7400,14.4300,14.6400,15076430,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-23,14.6900,14.7000,14.3500,14.3700,20602757,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-24,14.3800,14.4700,14.0000,14.0400,18558695,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-27,14.0200,14.1400,13.8000,13.9300,13774214,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-28,13.8500,14.0700,13.2800,13.7300,24806547,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-29,13.7700,13.8700,13.3800,13.4100,16937748,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-04-30,13.6400,14.2400,13.5900,14.1800,34718605,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-06,14.1200,14.8400,14.0200,14.7700,42614884,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-07,14.8600,14.9900,14.6300,14.6900,32386837,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-08,14.8000,15.0500,14.7500,14.7800,28571524,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-11,14.8700,15.0900,14.6500,14.8500,32097379,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-12,14.8200,15.5400,14.4900,15.4900,56777895,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-13,15.2300,15.2700,14.9900,15.1400,38192317,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-14,15.0100,15.3400,14.8400,14.9100,33746181,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-15,15.0600,15.6400,14.9200,15.3600,63344524,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-18,15.7000,15.8400,15.2000,15.3500,58033315,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-19,15.4500,15.8300,15.2200,15.7700,54660311,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-20,15.6700,15.7500,15.2000,15.3500,43208837,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-21,15.3400,15.4600,14.5800,14.6000,41055344,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-22,14.5400,14.7200,14.1300,14.2800,30816344,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-25,14.2500,14.4000,14.1000,14.1800,13848479,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
