time,open,high,low,close,volume,note
2026-06-08,8.3400,8.5200,8.2000,8.4500,21522237,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-09,8.4500,8.5600,8.2900,8.3600,15479101,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-10,8.3200,8.3800,8.2700,8.3100,11633844,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-11,8.3000,8.4000,8.2500,8.3400,15050660,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-12,8.3300,8.3400,8.1700,8.2500,26321288,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-15,8.2700,8.3700,8.1700,8.3200,19163504,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-16,8.3200,8.3800,8.2600,8.3500,17714887,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-17,8.3100,8.3800,8.2100,8.3500,14938166,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-18,8.3000,8.3600,8.2100,8.2700,13631432,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-22,8.3000,8.3000,8.0300,8.1700,23530731,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-23,8.1500,8.2000,8.0500,8.0900,19168116,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-24,8.1000,8.1500,8.0100,8.0800,13500244,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-25,8.1200,8.1300,7.9400,8.0000,17244209,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-26,8.0000,8.0400,7.9200,7.9300,13021782,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-29,7.9300,8.0400,7.7500,7.9400,15782288,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-06-30,7.9300,7.9400,7.6800,7.8200,18261327,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-07-01,7.8200,8.1200,7.7600,8.0600,16709803,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-07-02,8.1100,8.3000,8.0300,8.2800,18254734,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-07-03,8.2600,8.4900,8.2300,8.4500,16939400,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-07-06,8.4500,8.5900,8.2300,8.5600,18952589,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-07-07,8.4700,8.6700,8.3900,8.4700,19303174,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-07-08,8.5600,8.8200,8.4300,8.7300,22168189,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
2026-07-09,8.7000,8.7400,8.4500,8.5000,15332821,sh.600039 | 四川路桥 | baostock | adjustflag=3 raw
