time,open,high,low,close,volume,note
2021-04-19,400.0000,411.5000,397.0000,411.0000,3485955,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-20,410.6000,421.0100,403.8600,413.1500,4557365,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-21,409.1100,417.0000,407.0000,414.5800,2859970,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-22,414.5900,415.9000,402.8500,407.2000,3944207,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-23,408.5000,435.7300,408.0000,435.3000,6827864,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-26,447.0000,454.0000,437.0000,439.0000,6428683,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-27,439.0100,451.0700,435.1300,450.8000,4397832,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-28,451.0000,457.3900,445.0000,456.0000,4558963,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-29,451.8000,457.1700,444.4400,451.3000,4788207,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-04-30,457.0100,466.3700,451.3100,466.3500,4750384,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-06,455.0000,459.9600,441.0000,448.8500,5328698,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-07,448.8500,450.0000,425.6000,426.0100,4706605,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-10,426.0100,438.3300,421.0000,429.0000,3645603,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-11,427.9700,440.2000,423.0000,435.8600,3471158,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-12,436.7800,454.1000,433.5000,450.8800,3541518,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-13,446.0000,453.6600,438.1500,452.7600,3640527,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-14,447.9500,455.6800,445.0800,450.1700,3934467,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-17,456.0100,489.7500,456.0100,473.3000,6406856,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-18,473.3100,485.9800,467.8700,471.4700,3088854,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-19,469.5000,475.1200,463.8000,464.8000,2269083,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-20,470.0000,477.9900,466.1000,476.5100,3462208,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-21,482.0000,484.3000,472.5800,480.6000,3890019,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-24,482.0100,483.9700,454.0000,471.7000,5481904,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-25,474.4400,486.8400,472.9800,485.5900,4067459,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-26,484.0000,488.5900,477.5600,483.8100,2634286,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-27,485.0000,495.0500,478.0000,495.0000,3787532,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-28,487.0000,493.9700,480.1200,484.5300,3578308,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-05-31,487.0000,487.4900,477.2300,483.0000,2852612,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-01,484.4000,493.3700,480.1900,492.0000,3277063,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-02,492.0000,492.0000,471.7500,483.0000,4324526,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-03,481.0100,484.2000,467.1100,475.8000,3296026,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-04,475.0000,488.0000,474.0000,484.2000,2990909,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-07,485.0100,486.9900,475.0100,483.3000,2177774,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-08,485.0000,489.5500,473.0200,481.5500,2743407,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-09,481.9400,484.0000,474.9800,478.9900,2425635,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-10,478.8400,491.4900,478.8000,486.1000,3585576,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-11,486.7700,488.9600,470.0000,470.0000,4827929,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-15,470.3400,485.0000,463.0000,466.1500,4314820,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-16,472.1500,472.5000,442.5700,442.5700,5195534,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-17,445.0000,459.8900,438.2600,456.6000,4169639,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-18,456.8200,467.5300,449.7500,455.9900,3282084,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-21,452.0000,459.4200,446.0200,449.9200,3745623,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-22,452.2000,479.0000,445.1500,477.1000,6056591,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-23,477.1000,478.8000,466.6900,468.4400,3194000,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-24,466.5400,470.0000,450.8000,461.9200,3255503,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-25,459.8000,471.4300,454.1700,468.6800,3242171,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-28,469.6000,471.4400,465.1000,469.9600,2814995,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-29,475.0100,484.9900,468.8300,477.8400,4438471,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-06-30,484.9900,486.0000,471.1900,480.0500,2771975,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-01,478.0100,502.0000,474.8800,495.9900,5107240,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-02,490.0000,490.6600,451.0000,451.0800,9529267,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-05,450.0000,461.2600,444.0000,453.9800,4660088,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-06,456.8300,456.8300,425.0000,434.4000,6611424,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-07,440.0000,466.0000,437.1200,457.6500,5166992,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-08,459.0000,459.8800,445.0100,447.2600,4188977,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-09,441.8000,450.9600,434.0100,444.4100,3094585,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-12,445.1400,462.5000,441.0100,458.6100,4200846,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-13,463.0000,463.0000,444.0000,448.0100,3190698,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-14,448.6900,464.7800,442.3800,456.9800,3422962,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-15,456.9900,457.9800,446.8600,456.9800,2566288,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-16,456.2800,457.0000,433.0000,434.0000,5105073,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-19,434.0000,461.0000,432.3800,458.9500,5446748,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-20,462.0100,466.8700,446.8600,450.3500,3640749,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-21,453.4800,458.1800,449.0200,455.8100,4110576,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-22,460.0100,462.8800,451.0000,452.0000,3454167,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-23,450.5000,450.5100,425.0000,435.0000,6173363,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-26,427.3500,428.0000,400.5000,410.3500,8521801,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-27,406.1000,415.8500,389.7500,391.5700,6612815,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-28,394.7800,415.5000,391.0000,413.9900,6629754,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-29,424.3400,435.5500,420.0000,426.3200,5673328,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-07-30,426.2200,426.2200,386.0000,390.3500,11877993,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-02,394.4900,403.5100,369.8300,397.8000,8806506,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-03,406.4900,411.9800,390.0000,409.4000,6107362,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-04,389.9900,389.9900,372.9000,380.3100,16034385,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-05,385.1000,393.7800,370.0000,385.7400,9102875,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-06,381.2000,388.4700,380.0000,384.0500,5355724,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-09,384.0800,399.0000,381.0400,386.0000,6027138,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-10,389.9900,406.0000,378.5000,403.4000,7379784,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-11,409.5000,409.5000,382.3000,384.9800,5673120,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-12,384.3000,391.0000,373.2700,375.2000,5559711,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-13,376.2400,378.9100,360.3500,364.9000,7822944,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-16,365.0000,370.6800,360.0800,367.4400,4868725,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-17,367.9000,367.9000,340.0700,344.5900,17132500,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-18,348.1100,351.0000,341.1400,347.2000,6736697,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-19,348.6800,353.9000,333.6000,335.2700,9859933,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-20,319.0000,325.0000,276.3100,278.0900,36344278,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-23,285.1100,303.9900,281.5000,300.7000,23241254,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-24,309.7400,310.8000,300.0000,305.5300,12685444,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-25,312.0000,330.0000,301.2100,318.8000,14155337,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-26,330.0000,337.7400,316.3400,321.4500,14668926,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-27,322.5600,334.3000,320.1400,323.2500,9696102,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-30,327.0000,329.8000,314.4000,319.0000,9965205,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-08-31,318.9000,331.7000,315.8800,328.0000,8242282,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-01,323.8000,336.2000,316.1000,331.0000,8543126,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-02,331.9700,339.9900,323.5100,324.6600,7419123,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-03,324.4100,337.6800,317.3000,331.2000,6710716,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-06,326.4200,364.9000,325.1000,356.6500,10493474,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-07,354.0500,355.7000,340.5900,345.9800,7799091,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-08,348.5100,349.5600,325.0100,333.0000,7996619,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-09,333.3300,339.8000,325.8100,334.1500,6111253,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-10,334.2000,335.7000,327.0000,331.7000,6074147,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-13,333.7000,346.9900,333.7000,336.3400,5892979,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-14,336.4000,345.5900,336.1200,339.1000,4341036,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-15,337.0000,344.9700,326.5800,328.5000,6512844,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-16,328.0000,344.4200,324.8300,334.0100,6129540,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-17,331.0000,369.0000,329.5000,363.0000,9967938,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-22,362.6900,385.6600,361.1000,379.9500,7533390,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-23,378.3800,379.5800,365.2300,368.1800,6429504,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-24,365.2000,385.5600,365.2000,375.0000,6962912,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-27,378.0000,388.7700,375.0000,378.6000,6826933,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
