time,open,high,low,close,volume,note
2023-12-13,266.9900,268.4900,263.5000,263.5000,1413623,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-14,266.3200,268.4400,264.0700,264.2400,964642,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-15,264.2100,273.8800,264.2100,267.9900,1063637,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-18,268.0700,274.7300,263.5100,273.5000,983591,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-19,273.8000,274.5000,266.3000,268.5000,738445,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-20,268.6400,273.6800,267.7100,270.0000,804770,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-21,269.6000,278.4600,268.8600,275.4700,780117,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-22,275.1700,280.8800,273.1200,276.7400,764908,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-25,275.9100,287.0700,274.9900,280.3500,921786,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-26,279.9500,281.0000,275.1200,280.0000,770946,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-27,280.0100,281.9700,275.5000,279.1000,694951,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-28,279.1000,285.2000,278.3200,282.4000,842029,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2023-12-29,282.7600,287.0000,282.0100,282.9500,608705,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-02,282.3700,285.7200,276.8900,277.4300,672247,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-03,277.6100,282.2800,274.9900,281.0000,840501,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-04,281.0000,281.8600,266.3700,268.0000,1093485,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
