time,open,high,low,close,volume,note
2021-12-20,136.2900,138.9600,132.2000,133.0500,6247504,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-21,133.0200,133.9100,129.8300,131.9200,4957351,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-22,132.6100,133.1900,130.1500,130.3000,4192937,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-23,130.0100,130.6800,127.4300,128.4500,5135010,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-24,128.5300,129.3900,125.0800,125.8000,4675015,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-27,126.0000,127.9500,125.1100,126.1800,3891426,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-28,126.5000,127.3300,123.7000,125.3600,4333672,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-29,125.8100,127.5000,123.4000,124.0500,4840007,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-30,123.0700,127.8700,123.0300,127.1400,6403025,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2021-12-31,127.1800,128.1400,125.2800,126.6000,5056968,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-04,127.1100,127.8800,118.0000,120.1100,19493831,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-05,120.1100,120.6700,117.0800,118.9000,11044191,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-06,118.9000,123.5500,117.8200,121.0400,9641063,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-07,121.4600,123.7600,120.0200,120.7000,6557714,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-10,120.5000,121.3400,115.7100,118.6600,6517556,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-11,118.8800,119.4000,114.8100,115.0300,6312770,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-12,115.5600,119.4500,115.5500,118.8800,7144934,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-13,118.1200,119.2400,116.3000,116.5200,4905374,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-14,116.8000,119.1800,116.3200,117.3000,5599932,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-17,117.9900,120.3000,117.1500,119.6100,6775875,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-18,119.6100,121.7000,117.5700,118.3700,7457743,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-19,118.0000,119.5000,115.9800,116.8600,4935919,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-20,117.0000,119.4900,114.8000,115.2000,5532947,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-21,115.0000,116.1600,112.1300,113.1500,5743866,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-24,116.1500,121.2000,115.4100,121.0000,11566539,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-25,120.7000,122.7700,119.8900,119.9100,8857846,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-26,120.9300,126.7600,120.0600,125.7500,11217198,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-27,123.0000,125.5000,120.8000,122.8800,7699287,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-01-28,123.7800,123.9800,118.1500,118.7100,7379214,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
