time,open,high,low,close,volume,note
2026-06-04,26.8000,26.8800,26.4300,26.6700,5403397,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-05,26.7600,27.3400,26.5600,26.9600,6907746,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-08,26.7000,27.2800,26.4600,26.8300,7783289,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-09,26.9000,27.1300,26.6200,27.0000,5778637,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-10,27.0000,28.2000,26.8500,27.7000,10443272,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-11,27.5300,27.6600,26.9500,27.2500,7435924,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-12,27.3600,28.6500,27.3600,28.5300,15043953,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-15,28.2400,28.4400,27.9000,28.2900,9867235,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-16,28.2800,28.2800,27.6100,27.6800,7768731,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-17,27.5600,27.6800,27.0300,27.1500,6444023,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-18,27.0800,27.3600,26.7100,26.8600,5664127,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-22,26.7800,26.9800,26.0200,26.9000,8413487,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-23,26.7200,27.0600,26.2800,26.3100,6296386,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-24,26.3500,26.3500,25.5800,25.7500,7269940,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-25,25.5900,25.8900,25.2900,25.5800,6682805,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-26,25.4800,25.4800,24.7700,24.9000,7367464,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-29,24.8800,25.2200,24.3600,25.0100,6662810,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-06-30,24.9000,25.3300,24.8800,25.2900,6009475,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-07-01,25.3000,25.8900,25.2200,25.5500,6408334,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-07-02,25.4100,25.7700,25.3400,25.3900,5290200,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-07-03,25.4500,26.3000,25.4500,26.2100,7286984,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-07-06,26.2100,26.5100,25.8700,25.9300,5014797,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-07-07,25.9000,26.0800,25.1600,25.1700,4697588,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-07-08,25.1600,25.3100,24.8700,25.0000,4412694,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
2026-07-09,24.9900,25.0900,24.5600,25.0000,5370829,sh.600038 | 中直股份 | baostock | adjustflag=3 raw
