time,open,high,low,close,volume,note
2024-08-29,91.8800,92.9700,87.5200,91.5900,30288412,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-08-30,91.8100,95.9000,91.1100,93.7900,30804791,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-02,93.9600,94.6500,88.2500,88.4900,26303390,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-03,88.5000,89.6800,87.1800,88.4100,15217503,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-04,83.4000,89.8700,82.2800,88.2000,26058186,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-05,87.8500,92.7000,87.1200,90.2700,22213407,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-06,89.9000,90.8500,87.9500,88.6100,13072932,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-09,87.0600,91.2700,87.0200,91.0900,17718396,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-10,90.5100,95.0000,90.0700,92.6100,26755557,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-11,93.4000,95.9700,92.9000,93.6200,20512659,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-12,97.0300,98.3200,95.2100,95.2200,22576767,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-13,95.4100,104.9000,95.3000,100.3300,38327074,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-18,99.4000,101.8900,99.0000,99.5700,17544159,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-19,99.4000,99.5600,95.0900,97.8600,23357989,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-20,98.6900,98.8600,95.3000,95.7600,16825217,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-23,94.9600,97.9800,94.6000,95.2500,13134127,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-24,95.3300,106.0000,95.3300,105.3000,32068696,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-25,107.9100,108.5000,103.9500,104.6500,24847071,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-26,105.1400,110.1000,104.6800,109.9700,22986176,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-27,107.5600,116.5800,105.2300,112.3600,43903768,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-09-30,113.0000,130.0000,112.0000,129.9700,54989682,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-08,140.0000,155.9600,138.8000,155.9600,61422269,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-09,149.0000,160.2000,142.0000,148.5000,61065931,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-10,147.5300,151.8800,135.5500,143.3100,41939847,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-11,140.0100,153.0000,139.8100,143.9800,33577445,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-14,142.0000,149.2500,135.5900,148.5300,42355900,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-15,146.6100,149.9000,141.8900,141.8900,34769507,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-16,136.0000,139.3000,131.8000,133.4500,36576707,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-17,135.0000,136.6800,133.1700,134.3600,25420104,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
