time,open,high,low,close,volume,note
2022-11-25,249.0000,249.0000,245.0000,245.0500,8782164,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-28,240.0000,245.1300,237.2200,245.1100,9910928,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-29,246.2800,249.6800,243.0000,248.3000,12358078,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-11-30,248.3600,260.0000,246.4800,259.5200,21287338,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-01,268.0000,270.9500,264.9200,266.6600,25798585,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-02,264.9200,267.5700,260.4800,262.0800,11607538,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-05,265.9500,267.5900,261.9000,263.3600,10523309,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-06,260.5500,271.6300,260.0100,267.6000,12300679,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-07,267.6500,278.2800,267.6500,273.7400,19266593,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-08,273.7500,275.0000,270.8700,274.2900,9458065,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-09,275.4800,277.7000,271.4500,274.7000,10099232,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-12,271.9600,273.4700,268.0000,269.8800,8012821,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-13,272.0000,275.0000,269.5000,269.8000,6138433,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-14,269.4100,269.4400,263.6000,266.4000,9436462,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-15,266.3300,272.2800,263.5100,271.4600,9712345,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-16,270.0700,271.3700,267.5500,270.5100,5619664,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-19,268.9900,275.0000,265.6100,266.5000,8403891,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-20,265.9000,265.9000,258.6800,261.6000,8490821,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-21,261.5800,262.8500,259.6000,260.8000,4196630,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-22,263.0000,263.5000,258.5100,259.1900,5920995,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
