time,open,high,low,close,volume,note
2018-08-16,101.9800,106.8900,100.5100,102.8700,4899927,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-17,104.9000,105.8500,101.1300,102.7900,3649229,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-20,101.8800,104.9600,99.6200,104.9600,4107495,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-21,104.4900,107.1800,102.3000,105.9000,4478246,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-22,104.8800,106.8000,102.5900,103.5700,3653116,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-23,103.0000,108.4000,102.6300,107.7200,6350591,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-24,106.8000,113.6800,106.8000,112.1000,7847571,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-27,110.0000,116.9900,110.0000,114.0000,7685753,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-28,114.2000,116.2100,113.2900,114.7600,3585041,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-29,114.2000,115.5000,113.2500,114.9500,3327533,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-30,115.0000,115.4700,110.1000,110.5000,4752542,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-08-31,110.6200,111.7300,109.3100,109.3200,3114861,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-03,108.9000,110.3200,103.9000,110.0000,4443971,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-04,110.0700,113.4700,108.0500,112.1000,5004643,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-05,111.1100,112.3600,107.5800,107.6000,4240503,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-06,106.7900,110.0900,105.3000,107.7100,3782132,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-07,107.2500,109.6400,99.9900,102.5800,6834557,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
