time,open,high,low,close,volume,note
2020-10-14,38.1500,38.4800,36.5700,36.9000,28872616,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-15,36.8300,38.6700,36.6500,36.6700,26903566,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-16,37.7000,37.9800,35.4300,36.0600,21527605,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-19,35.5700,36.6500,35.3800,35.5000,20658379,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-20,34.9100,34.9300,31.7300,34.7700,53675792,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-21,34.3800,34.6900,33.1700,33.3500,22533280,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-22,33.0500,34.2000,32.4000,33.0900,20409074,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-23,32.9400,33.4500,32.1100,32.3300,16449098,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-26,31.9800,33.2500,31.8000,32.7000,15237632,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-27,32.7700,33.0000,31.9500,32.5000,15029823,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-28,32.5800,33.2000,32.0500,32.3700,17445882,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-29,31.4000,32.5800,30.9400,31.9700,21401205,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-10-30,32.6600,34.4200,32.0100,32.0800,43222405,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-02,32.4500,32.8000,29.8600,30.2400,36047389,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-03,30.5000,32.8900,30.2500,32.0600,37063190,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-04,32.2000,33.1000,31.8000,32.1100,24790684,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-05,33.3000,34.5800,32.8500,33.2500,31299359,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-06,33.7000,33.9700,32.6000,33.7800,28765693,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-09,34.9600,38.7500,34.7000,37.5200,70752938,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-10,36.7400,38.7500,36.1000,37.5200,47661644,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-11,37.4000,37.9400,35.0000,35.0100,36441060,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-12,35.9000,36.1800,34.0600,34.3700,23897678,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-13,34.0900,35.5100,33.6800,34.7900,24566277,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-16,34.8900,35.3400,33.8600,34.0000,17601865,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
