time,open,high,low,close,volume,note
2022-11-21,4.3200,4.3400,4.2100,4.2700,170767391,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-22,4.3000,4.3800,4.2700,4.2900,211122753,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-23,4.2900,4.3000,4.2100,4.2300,150591390,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-24,4.2500,4.2700,4.1600,4.1700,134912112,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-25,4.1600,4.2000,4.1300,4.1600,127780141,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-28,4.1000,4.1100,4.0000,4.0500,201631313,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-29,4.0600,4.1500,4.0500,4.1100,202798997,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-11-30,4.1000,4.1100,4.0100,4.0200,320925915,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-01,4.0600,4.0900,4.0200,4.0400,227804350,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-02,4.0300,4.0400,3.9400,3.9600,289194176,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-05,3.9800,4.0400,3.9700,4.0400,250537770,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-06,4.0200,4.0400,4.0000,4.0400,155138286,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-07,4.0300,4.0300,3.9700,3.9800,184016695,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-08,3.9800,3.9900,3.9400,3.9500,134078521,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-09,3.9500,3.9800,3.9400,3.9800,109475671,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-12,3.9700,3.9800,3.9200,3.9400,110288428,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-13,3.9300,3.9400,3.9000,3.9100,113251315,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-14,3.9200,3.9400,3.8900,3.9000,83729354,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-15,3.8900,3.9400,3.8800,3.9100,69104289,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-16,3.8900,3.9400,3.8800,3.9300,83913728,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-19,3.9300,3.9400,3.8100,3.8200,135565572,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-20,3.8100,3.8500,3.7800,3.8500,75828069,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-21,3.8400,3.8400,3.7300,3.7500,138351458,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-22,3.7500,3.7700,3.6800,3.7000,110904727,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-23,3.6800,3.7900,3.6700,3.7300,99526869,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-26,3.7200,3.7600,3.7200,3.7500,53354721,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-27,3.7600,3.7700,3.7300,3.7500,51407258,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-28,3.7500,3.7600,3.7100,3.7300,69009526,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-29,3.7200,3.7300,3.6800,3.7000,83964179,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2022-12-30,3.7100,3.7300,3.6900,3.7200,74646994,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-03,3.7200,3.7800,3.6900,3.7800,112566005,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-04,3.7700,3.8700,3.7600,3.8500,164097644,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-05,3.8400,3.8500,3.8100,3.8400,100023247,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-06,3.8300,3.9300,3.8200,3.8600,179182078,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-09,3.8800,3.8800,3.8400,3.8600,87868255,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-10,3.8700,3.9100,3.8300,3.8700,101942335,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-11,3.8700,3.9300,3.8400,3.8500,155188078,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-12,3.8500,3.8800,3.8100,3.8600,95613218,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-13,3.8600,3.8700,3.8300,3.8600,78130193,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-16,3.8500,4.0000,3.8400,3.9900,281659725,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-17,3.9900,4.0500,3.9800,4.0200,163830966,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-18,4.0100,4.0600,4.0000,4.0400,144456324,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-19,4.0100,4.1500,4.0000,4.1300,218406790,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-20,4.1600,4.3000,4.0900,4.1200,241808092,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-30,4.1600,4.3200,4.1200,4.2400,409436325,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-01-31,4.2100,4.2300,4.1600,4.2000,187984338,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-01,4.2000,4.2400,4.1700,4.2300,147751077,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-02,4.2400,4.2700,4.1800,4.1900,188929965,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-03,4.1900,4.2000,4.1100,4.1700,200087013,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-06,4.1500,4.2000,4.1300,4.1400,134158688,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-07,4.1400,4.1800,4.1200,4.1500,87200030,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-08,4.1500,4.1700,4.0900,4.1000,85510673,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-09,4.0800,4.1900,4.0800,4.1900,165149882,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-10,4.1900,4.2700,4.1700,4.2000,147187850,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-13,4.2000,4.2200,4.1700,4.1800,121010398,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
