time,open,high,low,close,volume,note
2019-08-08,34.8800,35.8000,33.8800,35.5000,8653110,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-09,35.5100,36.2800,34.3800,34.6100,7153527,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-12,34.9000,36.1500,33.9600,36.0900,7906887,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-13,35.4400,37.8800,35.3700,37.3000,13831485,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-14,39.0000,41.0000,35.9800,36.2200,22527291,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-15,34.9900,39.7900,34.4000,39.5300,14302073,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-16,39.1800,39.8000,38.1000,38.5800,10554739,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-19,39.5000,42.0300,39.0300,40.1000,12753938,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-20,40.4000,40.4400,39.4700,39.8500,7182971,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-21,39.5100,40.3900,38.7000,39.4700,7471561,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-22,39.5000,39.5500,38.2500,38.5100,7646286,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-23,38.6000,38.8800,36.9800,38.1200,11852768,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-26,37.0000,38.3000,36.8600,38.2200,6900055,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-27,38.3600,39.6400,38.0700,38.5900,10351770,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-28,38.2700,38.4900,37.4000,37.7100,7429289,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-29,38.0000,38.6400,37.1800,37.7000,8770382,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-08-30,37.9900,38.1100,33.9300,33.9300,15891313,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-02,33.6300,37.0300,33.0000,36.8000,16626501,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-03,36.6700,37.8500,36.2100,37.2900,12353773,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-04,37.4800,37.5000,35.2500,35.8100,11466523,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-05,36.1000,37.7300,35.6500,36.4000,12537063,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-06,36.7000,37.3000,35.2400,36.0900,10925079,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-09,36.5100,39.4900,35.7100,38.8800,16426358,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-10,39.0000,40.3500,38.5000,39.3300,10825833,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-11,39.8100,41.1000,39.0800,40.1900,11546640,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-12,40.5600,40.8000,38.3800,39.1600,9452966,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
2019-09-16,39.1600,41.9500,38.3000,40.7800,11952263,sz.002938 | 鹏鼎控股 | baostock | adjustflag=3 raw
