time,open,high,low,close,volume,note
2022-12-26,40.0800,41.5600,40.0600,41.2000,4632977,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-27,41.2200,41.7000,40.5500,41.3300,4279635,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-28,41.3000,41.3000,40.3200,40.4800,2904206,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-29,40.6000,41.1300,40.0800,40.6000,3400797,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2022-12-30,40.8400,41.1800,40.0800,40.1200,3035871,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-03,40.8000,42.4500,40.2300,42.0200,10156035,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-04,42.1500,42.8800,41.0000,41.0500,7127159,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-05,41.0100,41.6600,40.4000,41.4700,7097100,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-06,41.2900,43.4300,41.0100,42.3700,10236740,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-09,42.3800,42.9600,41.2400,41.9900,5645296,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-10,42.3300,43.2800,42.0300,42.2100,4760041,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-11,42.1600,43.0400,41.4300,41.4900,5411156,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-12,41.5300,41.5900,40.6300,40.7100,5112671,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-13,40.8600,41.1700,40.2000,40.6200,4229160,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-16,40.4000,41.8800,40.3000,41.6100,6798306,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-17,42.4800,42.8000,40.3000,41.8000,9272945,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-18,41.9000,42.5000,41.1300,41.9900,7488689,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-19,41.7500,45.4400,41.7400,44.9000,15061008,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-20,44.6400,45.4000,44.4100,44.9800,7104606,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-30,45.3000,45.6000,43.9800,44.2000,7953849,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-01-31,44.1000,44.4700,42.6300,43.0100,8731889,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-01,43.1100,43.8800,42.8600,43.8000,6521100,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-02,44.2200,46.8000,44.1100,45.7800,15271859,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-03,45.4700,47.7000,44.7500,47.6800,13827056,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-06,47.7700,50.0200,46.3800,49.1000,22382702,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-07,48.4000,51.5100,48.1900,49.6600,16643405,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-08,49.9900,50.7800,47.1000,47.2300,12611675,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-09,46.9900,55.3000,46.4600,53.5100,25652346,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-10,53.0000,53.5000,50.4400,50.5900,19174837,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-13,51.0000,54.7200,50.3000,52.5200,22827718,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-14,53.8300,55.3600,52.4900,53.1700,19995512,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-15,53.1600,57.0100,51.3700,56.2100,25229176,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-16,55.0300,56.6800,50.9100,51.5000,25265968,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-17,51.2000,51.9600,48.0000,48.4300,18698443,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-20,48.5100,52.4800,48.0300,51.9000,19512588,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-21,51.1800,52.1900,49.0100,49.9900,15347519,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-22,49.5000,50.9700,49.0100,50.1700,10058181,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-23,50.3200,51.4300,49.6000,50.1800,10337473,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
