time,open,high,low,close,volume,note
2020-10-21,182.0000,182.0000,176.9500,178.7200,5108518,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-22,177.0000,181.4900,176.5800,177.6900,5073860,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-23,177.5000,179.9000,169.9300,172.3000,4859843,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-26,168.7200,175.3500,166.7500,173.1200,5012501,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-27,171.0000,181.3500,171.0000,181.3000,6440868,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-28,180.9000,183.2500,178.0000,180.1600,5977489,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-29,179.5200,187.4800,179.0000,184.3000,10537241,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-10-30,185.0000,201.7300,184.9900,198.0200,23668577,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-02,205.0000,217.8200,200.0100,217.8200,18612387,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-03,226.8400,226.8400,212.9200,215.5900,16480947,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-04,216.8800,218.4300,206.9600,211.0000,14067168,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-05,218.2000,219.0800,209.8900,214.0000,12355005,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-06,213.8000,220.9900,209.0300,219.3100,17191989,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-09,223.0000,241.2400,223.0000,239.4500,21034169,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-10,232.0000,233.8800,223.9100,224.9100,13750419,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-11,216.0000,219.5100,202.4200,202.4200,18005444,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-12,204.3800,208.6800,200.5800,204.1700,9964256,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-13,203.8700,208.0000,198.3000,201.7900,9202956,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-16,204.0000,204.0000,194.1100,199.8000,9971274,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-17,199.8100,202.8400,190.0100,202.7000,12380112,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-18,199.0000,207.5800,196.0100,202.5400,9491162,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-19,199.3300,206.9500,198.0100,205.2000,6447556,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-20,204.2500,206.8000,201.0000,202.3500,5062118,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-23,196.2800,202.0300,191.3000,200.5000,9906551,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-24,199.0300,208.5600,198.5000,205.2000,7407710,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-25,208.0000,213.8800,206.0000,209.9000,8990413,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-26,209.8000,209.8500,202.2800,202.7700,6230735,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-27,203.3800,207.8000,201.0200,205.8000,4390158,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-11-30,207.0000,215.4400,203.2100,215.4400,10418104,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-01,210.0000,216.9400,209.4800,216.8800,6743329,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
