time,open,high,low,close,volume,note
2025-10-15,127.1800,129.7300,124.6000,129.5600,80798726,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-16,127.8000,130.2800,126.6000,127.3000,61231062,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-17,126.8500,127.3200,120.8700,121.9800,82052898,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-20,124.1000,125.1800,121.6900,122.6300,57123935,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-21,123.8000,127.8500,122.6100,127.1900,78415088,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-22,125.4200,129.2700,123.8100,126.8100,65395411,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-23,125.1800,128.5000,124.0100,128.3000,63426402,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-24,130.3000,134.8000,128.9000,134.0600,102446621,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-27,137.5000,137.5000,132.3000,134.5000,101264304,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-28,133.0000,135.8000,132.0000,132.6900,69518945,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-29,132.0000,134.5300,130.3100,133.0000,68846074,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-30,133.0000,133.0000,128.5100,128.5500,69286397,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-10-31,128.0300,128.7000,124.1800,124.1800,69166889,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-03,122.0000,122.6000,117.5500,120.2100,74770927,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-04,121.0000,122.6600,119.0000,119.8800,47738417,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-05,116.9000,121.1000,116.5000,119.7800,48501600,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-06,121.9000,125.9900,121.0500,124.8500,73150765,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-07,122.9300,124.1800,122.0500,122.1100,38229214,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-10,122.1300,122.9500,118.7600,120.0100,39583271,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-11,120.6000,121.4700,117.5300,117.7300,34253008,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-12,117.0000,119.8000,115.7400,119.6300,45701552,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-13,118.9900,123.3300,117.8000,123.1000,54988853,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-14,123.0000,125.5000,117.8900,118.1800,77529352,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-17,116.8200,119.2900,116.5100,117.6300,42177341,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-18,117.5000,120.1800,117.1300,117.9600,47391508,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-19,117.9900,118.4900,115.5100,116.2800,41511956,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-20,117.9900,118.2900,116.4600,116.7800,34470285,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-21,113.8600,116.0800,113.0000,113.0000,46135862,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
