time,open,high,low,close,volume,note
2026-04-23,36.7200,37.4500,36.3300,36.9700,24669541,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-24,36.7900,37.7200,36.5000,36.9700,17891232,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-27,36.9700,37.3000,36.2100,36.4800,18761921,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-28,35.5000,36.1800,35.0500,35.6300,27307815,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-29,35.6800,36.2500,34.9000,35.9200,24003414,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-04-30,36.0800,36.8000,35.2800,35.4100,17422887,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-06,35.6000,36.2000,34.8100,36.0400,22778973,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-07,36.1500,36.1500,34.8100,35.1000,18921924,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-08,35.1000,35.9400,34.9100,35.6400,11221940,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-11,35.7800,36.7200,35.6000,35.6600,19393444,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-12,35.5100,35.8500,34.9100,35.8300,17184951,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-13,35.5500,36.3800,35.5300,36.0000,14722014,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-14,36.0100,36.3800,34.9300,35.0000,23217215,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-15,33.0500,33.2800,32.4500,32.7900,14951490,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-18,32.5100,32.5400,31.4100,31.7100,16359107,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-19,31.7100,32.3200,31.5300,32.2900,15359864,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-20,32.1600,32.3600,31.8500,31.9000,8008664,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-21,32.0800,33.1000,31.7100,31.7100,12955284,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-22,31.8500,32.0800,31.4500,31.5500,8671291,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-25,31.5500,32.9100,31.5200,32.0100,12523139,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-26,32.1800,33.2800,31.8300,32.7600,18040004,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-27,32.7300,33.0800,32.2200,32.6600,10378112,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-28,32.4100,33.4300,32.0400,32.1300,12641935,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-05-29,32.1100,32.8300,31.8800,32.3000,14534965,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-01,32.2100,33.0500,31.9100,32.6700,18476527,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-02,32.4300,33.4700,32.3800,33.3500,19341629,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-03,33.3600,34.5000,32.3600,32.8300,27876824,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-04,32.7600,32.9400,29.5600,29.9900,46251102,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-05,30.0100,31.1900,29.5400,30.5700,28535879,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-08,30.5400,31.3200,29.9800,30.4700,21008872,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-09,30.5800,30.6800,29.9300,30.0600,16755762,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-10,29.8800,30.1800,29.0100,30.0500,21661435,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-11,29.8000,30.1000,29.3000,29.5000,12602667,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-12,29.3100,29.5400,28.7500,28.8500,20357671,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-15,28.8700,29.0900,28.0000,28.2600,29145149,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-16,28.2600,28.2600,26.0200,26.3600,61252189,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-17,26.3900,27.3000,26.0000,27.1400,36224579,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-18,27.2600,27.3700,26.0000,26.0400,32042352,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-22,26.9000,27.5700,26.2200,27.4200,35529555,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-23,27.2800,27.6300,26.5500,26.5800,17138887,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-24,26.7300,27.2500,26.2700,26.6500,24037602,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-25,26.5200,26.7100,25.8100,26.5700,21800097,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-26,26.5700,27.2200,26.2500,26.8000,23513961,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-29,26.8200,27.9600,26.2300,26.9200,27120488,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-06-30,26.8500,27.6300,26.6400,26.8100,17421765,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-07-01,26.8100,28.5000,26.7100,28.1500,28765990,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-07-02,28.3400,28.7600,27.4300,27.5100,19432358,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-07-03,27.6000,29.1200,27.5200,28.9000,30188801,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-07-06,28.9100,29.6500,28.3600,29.3400,24584343,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-07-07,29.3000,29.5200,28.8300,29.0700,16438113,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-07-08,28.9100,29.4400,28.5900,28.7700,10397945,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
2026-07-09,28.7000,28.8800,28.1000,28.2100,21363406,sh.600066 | 宇通客车 | baostock | adjustflag=3 raw
