time,open,high,low,close,volume,note
2020-12-10,134.9600,139.1900,131.8900,133.6400,3185205,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-11,134.0900,139.9900,133.3500,138.4600,4100675,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-14,139.1700,143.2800,136.2300,136.5000,3658242,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-15,137.8100,137.8100,130.1500,134.1600,3689362,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-16,135.5200,137.9800,128.8400,129.6500,2903762,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-17,131.0000,131.3200,127.0500,128.3800,2952286,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-18,128.5000,128.9800,125.5000,125.7800,2912465,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-21,127.0500,132.5700,124.4500,132.1600,3920018,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-22,131.4100,142.4500,130.5800,135.7400,4535516,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-23,136.5000,138.9300,131.2200,135.3000,3411568,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-24,136.5800,136.9900,130.6000,132.0000,2329662,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-25,132.8900,141.3700,132.8900,137.9900,3117613,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-28,139.6000,141.8800,137.0600,140.1000,3623719,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-29,137.8600,141.9700,137.8600,141.9000,2378003,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-30,141.2100,148.1900,141.2100,145.0000,4718465,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2020-12-31,147.0000,153.5800,145.2700,152.1400,5579352,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-04,152.9800,165.5800,149.6100,159.6100,6741405,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-05,158.3300,165.1800,155.0000,163.0300,5821051,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-06,163.0000,163.2000,157.0000,159.7100,5037602,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-07,159.6000,159.6500,148.8900,151.0000,6103885,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-08,152.0000,153.7200,142.6500,147.1000,4609918,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-11,147.3900,153.4900,146.4000,150.8500,4124242,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-12,151.0000,151.5500,146.9200,146.9800,2484179,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-13,148.6000,154.1500,144.9900,147.6500,2891413,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-14,147.4500,161.6800,146.1200,158.6100,4330197,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-15,158.8800,165.6400,155.5100,162.6000,3493948,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-18,160.1000,165.4500,157.1300,164.7400,3261119,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-19,163.0000,164.0000,154.5700,155.1200,3054733,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-20,157.6300,177.0000,155.1200,177.0000,4745030,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-21,177.7000,194.9900,170.5000,192.0600,4777762,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-22,191.0100,196.1700,182.0000,191.0000,3631341,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-25,191.0000,211.9900,187.0000,207.5100,3955187,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-26,204.5900,204.5900,192.0600,197.0000,3249423,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-27,197.0100,199.5000,183.8800,190.0000,3247726,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-28,186.8100,195.5800,183.0000,185.2000,2601265,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-01-29,186.9700,208.8000,182.0000,206.0000,4680247,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-01,200.0000,200.0000,180.0100,187.1400,5061662,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-02,188.9600,195.5000,185.0200,193.7800,3318030,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-03,191.0000,205.3200,189.8800,193.5600,3030883,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-04,190.7500,211.2100,190.7500,205.7500,2851229,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-05,203.0000,245.0000,202.3200,222.0000,5116485,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-08,224.9700,227.8500,214.0100,224.2000,2648965,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-09,225.0000,261.9400,216.2300,245.2000,4032748,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-10,242.1300,252.9900,235.2000,249.0000,5571843,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-18,252.0200,254.6900,224.0100,229.0000,3422915,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-19,226.0300,232.8500,216.8800,224.0000,3092003,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-22,223.6200,223.6200,189.8700,193.8000,6330526,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-23,190.0200,204.7300,188.1400,200.8300,3615747,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-24,200.3200,201.5000,184.4400,185.3000,4177294,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-25,190.7400,198.3900,188.0800,195.0000,2678775,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-02-26,185.1200,199.0000,181.7900,196.6100,4241295,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-01,200.5700,200.9600,189.4500,192.2500,3388257,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-02,193.7900,193.8700,185.0900,186.0800,2591488,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-03,188.0000,188.0000,176.8800,185.0500,3564333,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-04,184.0000,184.8700,172.0000,175.0400,3525502,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-05,171.0000,189.8000,166.2100,183.0000,5038710,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-08,182.7000,186.9900,175.0000,175.0000,3842827,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-09,174.8700,185.1600,170.6600,176.1100,4115708,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-10,181.9100,192.7700,181.3900,192.0000,4858600,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
