time,open,high,low,close,volume,note
2024-09-09,44.6400,45.5000,44.2800,44.7100,1580968,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-10,44.8700,46.6900,44.2000,46.0200,2684960,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-11,45.9800,46.4600,45.7300,46.2000,1562448,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-12,46.4900,46.8900,45.5200,45.6600,1736919,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-13,45.6100,45.7800,43.5600,44.6400,3845343,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-18,43.8200,44.0600,42.7000,43.3000,3156263,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-19,43.6600,44.4000,42.9000,43.9000,3281521,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-20,44.0000,44.6000,43.6800,44.1000,2417769,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-23,43.9900,44.9900,43.5800,44.1400,2533323,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-24,44.3500,45.2500,43.2900,45.2500,4093108,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-25,45.7000,47.6300,45.6800,46.4800,5265588,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-26,46.4100,48.9400,46.1200,48.9200,5063342,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-27,50.4500,58.7000,50.4500,58.7000,17977594,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-09-30,63.0000,70.4000,61.8800,70.2500,27220570,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-08,83.8300,84.3000,71.0000,84.2900,29876021,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-09,79.0000,79.9000,68.7700,68.9500,21037650,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-10,71.0000,71.7700,65.2000,65.4800,13013564,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-11,64.6800,66.0000,61.0100,62.0500,8927164,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-14,62.1300,66.6300,60.6400,66.2700,10733163,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-15,66.0000,68.0700,63.8000,63.8200,8528163,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-16,62.3900,64.3900,62.0000,62.9700,5282123,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-17,66.8000,69.0300,65.6500,66.0500,13308609,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-18,64.6800,73.2000,62.5000,68.8000,15814337,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-21,68.8900,70.0000,66.5000,67.8700,12469136,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-22,67.0000,67.8000,65.7500,66.8800,7709971,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-23,66.8900,67.4000,65.6100,65.8000,6937892,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-24,65.5000,65.5700,63.8100,63.9100,5951330,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-25,64.9100,67.9900,64.4800,66.4700,8796898,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-28,66.4700,67.8700,65.5300,67.7600,7768581,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-29,68.3500,69.8000,65.5000,65.7500,10071018,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-30,65.1000,66.1900,64.6000,65.5600,5385686,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-10-31,65.5000,68.5600,64.6500,65.9900,7478353,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-01,66.0900,66.2000,62.6100,62.7900,7285405,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-04,62.8800,64.8600,62.5200,64.5600,5041180,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-05,64.3500,69.0000,64.3400,67.4400,9909750,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-06,67.4400,70.0000,67.0600,67.7800,9229759,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-07,67.0000,70.1800,66.5100,70.1500,8065452,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-08,72.0000,72.7000,68.8800,69.5000,12967461,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-11,69.1300,73.8500,69.0000,73.5400,12366470,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-12,74.3600,74.7800,70.3600,71.2600,11189362,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-13,71.1700,72.4500,70.3000,72.2500,6575390,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-14,72.5000,73.3500,69.0100,69.3000,6414894,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-15,69.1400,71.7700,67.2000,67.3000,7158150,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-18,67.0000,67.8800,62.8800,63.6500,7810290,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-19,63.6500,65.3300,62.7000,65.1900,5722510,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-20,65.0000,67.5000,64.8000,66.3000,4518066,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-21,65.8100,66.9700,64.8800,65.7700,4601198,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-22,65.8000,67.1800,63.0400,63.1000,5442120,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-25,63.3100,63.9800,61.6800,63.7900,4609135,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-26,63.6000,66.1900,62.6000,62.8400,4833971,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-27,62.8000,64.5600,61.5000,64.3600,4147797,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-28,64.6800,65.3600,63.7100,63.8100,3206266,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-11-29,64.1300,66.3000,63.1500,65.2000,5311750,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-02,64.8500,65.6100,63.9000,64.8000,5255780,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-03,64.7900,65.3000,63.1300,63.8700,5159577,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-04,63.8800,64.5000,62.2200,62.8000,4745983,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-05,62.6500,63.7800,62.5200,63.0000,4069599,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-06,63.0100,66.1000,62.3800,65.2800,7988368,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-09,64.7300,65.6500,63.1200,63.9700,5209264,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-10,66.7600,66.9500,64.6400,64.8200,8196646,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-11,64.4400,66.3000,64.4000,65.4400,6430595,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-12,65.4800,66.4900,64.6000,65.6800,6122587,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-13,65.0000,65.3600,63.6800,64.3000,12049214,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-16,64.3000,64.3000,61.5100,62.0200,8376234,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-17,62.3000,62.9500,61.2100,61.6400,5644549,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-18,62.0000,62.5500,61.2800,62.0000,2987875,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-19,61.8000,63.7300,61.3000,63.1200,4970879,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-20,62.7400,63.9500,62.1500,62.9600,3828400,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-23,62.9600,63.4700,61.1600,61.1800,4134773,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-24,61.1800,61.7400,60.1000,61.0000,4279823,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-25,61.0000,61.3000,59.3800,59.8900,3242429,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-26,60.1000,61.1800,59.8700,60.6700,2681076,sz.300454 | 深信服 | baostock | adjustflag=3 raw
