time,open,high,low,close,volume,note
2019-10-28,354.0000,376.0500,353.0000,372.7000,1515783,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-29,369.6600,373.9000,356.0000,366.5000,1704369,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-30,362.0000,389.5300,357.0000,377.4600,2149592,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-10-31,375.6600,382.0000,372.0100,375.7200,1155110,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-01,360.0000,372.0000,358.0000,364.9500,1734663,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-04,362.5200,378.2000,359.0000,374.2000,1860723,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-05,370.0000,411.6200,369.0000,411.6200,2707661,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-06,411.5100,416.7700,393.4000,398.0000,2162848,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-07,396.9700,418.6000,391.7900,408.5300,1786110,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-08,411.0000,418.8500,405.7000,406.0000,1395754,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-11,402.0100,421.0000,398.0800,415.2900,1450470,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-12,414.0600,419.0000,403.4900,419.0000,1191552,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-13,416.0200,455.0000,415.9800,440.5000,2068993,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-14,443.5000,456.7000,437.2200,446.5000,1418181,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-15,443.8000,456.8800,440.5500,446.0700,1330792,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-18,439.0000,449.9600,419.2800,440.5000,2144408,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-19,435.9500,445.0000,432.1800,442.8000,1410387,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-20,442.8000,445.4500,433.2200,437.0000,1103597,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-21,433.0000,438.0000,425.0000,428.2200,1139476,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-22,431.8400,439.5000,402.5200,407.9100,2078796,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-25,409.0200,418.4900,398.1000,408.5000,1631518,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-26,411.6400,417.6500,406.0000,412.3800,1056881,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-27,408.0000,430.6800,405.0000,427.0000,1498447,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-28,422.0000,428.0000,418.3500,420.4400,834903,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-11-29,420.0000,422.9800,404.6800,412.0900,1106426,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-02,410.5000,420.2000,406.0100,413.6100,917660,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-03,409.9500,435.0100,405.2000,432.1900,1559457,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-04,429.0000,439.8800,424.4800,429.1500,1260612,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-05,427.8100,442.2500,427.8000,432.0000,1433216,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-06,431.3100,433.7000,421.2200,425.4500,1286495,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
