time,open,high,low,close,volume,note
2024-12-09,118.5400,120.5000,116.7900,117.5700,2123274,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-10,122.6000,123.0000,115.6800,116.6100,2927155,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-11,116.0500,118.5000,115.0000,116.2300,2332967,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-12,116.2300,119.5000,115.1300,117.4700,3415747,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-13,116.6500,119.2800,115.6100,116.2300,6395171,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-16,116.9800,117.6000,111.0900,111.7900,4162985,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-17,112.6800,113.3000,109.6800,110.1000,2824992,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-18,110.9900,111.2300,108.7000,108.7100,1990767,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-19,107.2100,108.8300,106.7300,107.3800,2071262,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-20,107.3800,112.1900,107.3800,108.6000,2671425,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-23,108.1500,112.5000,107.9900,110.1300,4098698,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-24,110.7500,111.9600,107.0000,109.0600,2387327,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-25,108.8400,109.3900,106.8000,107.8900,1779294,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-26,107.8400,108.5800,106.8800,107.0900,1762222,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-27,107.0800,110.7900,106.2000,107.7000,2333895,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-30,107.9900,109.5900,107.0000,108.0500,1614332,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2024-12-31,108.7500,109.4900,105.1500,105.1500,1963998,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-02,105.2400,108.6600,102.3000,103.4500,2776575,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-03,102.7000,106.0600,100.3100,100.4200,2474181,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-06,100.4800,102.0000,99.1800,100.3300,2001294,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-07,100.2900,100.9900,98.6300,100.1400,1683337,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-08,100.7800,100.7900,96.9900,99.2100,1774296,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-09,99.0000,103.2000,98.8900,100.1800,1967148,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-10,100.5100,101.7100,96.5300,96.5400,1366483,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-13,96.4500,98.1900,95.2100,97.6000,1533695,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-14,97.6000,100.4800,96.3600,99.9100,2666759,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-15,99.7600,102.2200,97.2000,100.9900,3035220,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-16,100.2800,105.8600,100.1100,102.0200,2725693,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-17,102.0300,102.6000,98.7200,100.1300,2009328,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-20,101.0000,102.1400,98.5100,99.0000,2021597,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-21,99.1200,99.8700,95.2300,96.3000,2701838,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-22,96.0000,96.7500,94.2000,96.3600,2200959,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-23,97.9600,97.9700,93.8000,93.9200,3478983,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-24,93.0300,95.4600,90.5100,94.9300,3834912,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-01-27,95.0100,95.4700,92.4400,92.4600,2435256,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-05,92.4600,94.3000,91.7400,92.1900,1859338,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-06,92.1800,94.6900,91.5000,93.9200,2643946,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-07,94.1700,98.9300,93.5700,97.0500,4641309,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-10,97.2000,97.8000,94.1400,96.1400,3205379,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-11,96.3000,96.3200,93.3500,94.0600,2662725,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-12,93.3500,94.8000,91.9300,94.5700,3176393,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
