time,open,high,low,close,volume,note
2025-05-07,28.8800,29.1600,28.1800,28.3600,7712837,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-08,28.2900,28.9700,28.2800,28.9700,8696137,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-09,28.9100,28.9300,28.2900,28.4200,6046560,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-12,28.7500,28.9600,28.6000,28.8500,7643881,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-13,29.2900,29.6700,28.8600,28.9000,12037692,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-14,28.9100,29.1000,28.4000,28.7500,7814350,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-15,28.6300,28.6600,28.0100,28.0400,6273205,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-16,28.0400,28.1900,27.8100,27.8900,6515394,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-19,27.7900,28.0200,27.5100,27.9000,4838112,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-20,27.9900,28.1500,27.8000,28.0800,4608716,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-21,28.2000,29.1500,28.1700,28.3500,10052248,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-22,28.6000,29.2900,28.6000,28.8000,12719909,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-23,28.6900,28.8200,28.0900,28.1200,8843241,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-26,28.2300,28.2900,27.8400,28.0600,4879209,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-27,28.0500,28.2200,27.8300,27.8800,4420272,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-28,27.5000,27.6700,26.6000,26.9600,7042063,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-29,26.8900,27.3900,26.8900,27.3100,4519628,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-05-30,27.3100,27.3500,26.9600,26.9600,4162051,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-03,26.8000,27.0300,26.7800,26.9200,3695919,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-04,27.0800,27.2500,26.9500,27.1500,3419197,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-05,27.1600,27.4000,26.9700,27.3400,5099582,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-06,27.3200,27.4000,27.1600,27.2100,3699720,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-09,27.2300,27.4900,27.1800,27.4900,5182016,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-10,27.4000,27.4600,26.8100,26.9500,6992415,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-11,26.9400,27.3500,26.9400,27.1800,4904594,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-12,27.1800,27.2000,26.9200,26.9600,4646604,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-13,26.8700,27.0800,26.6000,26.6600,5784897,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-16,26.5900,26.6900,26.3000,26.4100,6785924,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-17,26.4300,26.5500,26.3300,26.5100,4686730,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-18,26.7000,26.7100,26.3500,26.4900,4447864,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-19,26.4000,26.5400,25.8000,25.8200,7659375,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-20,25.8700,26.4300,25.8700,25.9900,6607824,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-23,25.8200,26.1800,25.6800,26.1300,5691604,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-24,26.2000,26.6500,26.1500,26.6000,8414217,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-25,26.5500,26.9400,26.4300,26.9400,9495007,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-26,26.9100,27.0700,26.5600,26.5700,8702165,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2025-06-27,26.6600,27.1300,26.6600,26.9500,10011479,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
