time,open,high,low,close,volume,note
2021-09-23,214.9200,220.0000,210.3000,212.8300,3988230,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-24,210.7600,219.7700,210.7600,216.6000,2591308,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-27,216.4400,225.0500,211.1100,214.9900,4287618,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-28,214.0300,222.4000,211.3300,218.9000,3129252,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-29,219.0000,220.0000,212.5500,214.0000,2801022,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-09-30,214.7600,217.5000,210.8700,215.4100,2144977,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-08,214.1100,216.9900,204.5100,205.0000,5231139,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-11,203.7100,207.8300,195.1500,196.5000,4918256,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-12,198.6900,200.8800,193.1300,194.7100,3092539,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-13,195.1900,200.2000,193.4100,199.5100,3125718,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-14,199.5100,206.6900,196.1000,196.5800,3354408,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-15,197.8100,200.3000,194.9500,197.3100,3481865,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-18,196.6500,197.9700,190.0000,192.6800,3008402,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-19,195.2000,207.3900,194.0000,205.8900,4201870,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-20,205.9800,208.0000,191.5000,193.3000,6371612,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-21,192.1500,193.9200,187.0000,190.6200,4370707,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-22,188.8800,189.5000,184.0000,184.7000,3823448,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-25,184.0000,186.9000,182.7800,185.0000,2270200,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-26,184.5500,187.4900,182.6200,185.2000,2439868,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-27,185.0000,186.0000,174.8500,177.4400,5631498,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-28,182.6000,189.4500,181.0200,184.8300,4873602,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-10-29,185.9000,192.0000,184.2600,191.3500,4588680,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-01,192.1000,192.3000,179.2000,180.0000,4679468,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-02,179.0100,185.0000,179.0000,182.0000,3407739,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-03,181.0000,183.7000,175.1900,177.1000,3674064,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-04,178.4500,184.5300,169.0000,173.8400,7023355,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-05,172.1000,175.8500,170.0500,170.5000,2925811,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-08,170.1900,172.7000,163.0000,165.8000,3651801,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-09,166.5000,182.6800,165.8100,180.9800,6650132,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
