time,open,high,low,close,volume,note
2023-12-28,1670.9900,1727.9900,1667.0600,1724.9900,3833806,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2023-12-29,1720.0000,1749.5800,1720.0000,1726.0000,2753868,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-02,1715.0000,1718.1900,1678.1000,1685.0100,3215644,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-03,1681.1100,1695.2200,1676.3300,1694.0000,2022929,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-04,1693.0000,1693.0000,1662.9300,1669.0000,2155107,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-05,1661.3300,1678.6600,1652.1100,1663.3600,2024286,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-08,1661.0000,1662.0000,1640.0100,1643.9900,2558620,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-09,1641.0100,1652.3200,1635.0700,1641.0000,2441204,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-10,1641.1000,1659.4600,1638.0000,1641.5000,1735067,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-11,1640.1000,1657.9400,1638.0600,1646.5700,1644055,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-12,1639.9700,1651.2600,1639.4000,1643.0600,1160324,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-15,1635.0000,1654.9700,1634.4500,1640.0000,1785403,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-16,1638.5000,1647.0000,1624.9400,1639.4300,2590314,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-17,1630.0000,1635.4800,1577.0000,1577.0000,5163276,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-18,1574.0000,1612.8000,1555.5500,1610.8700,6043981,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-19,1608.8700,1638.0100,1600.8800,1635.0000,4637843,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-22,1629.0000,1643.0000,1618.8800,1642.0000,4694589,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
