time,open,high,low,close,volume,note
2018-05-15,38.6000,39.3700,38.0000,39.3400,4166265,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-16,39.0600,40.3400,38.6000,39.9500,4846374,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-17,39.9400,40.0000,39.2800,39.4300,2116263,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-18,39.4300,40.1800,38.8100,39.9900,4221000,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-21,40.2000,41.2700,40.2000,40.8000,4186447,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-22,40.9000,41.7600,40.5100,41.6000,5443422,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-23,41.6000,42.1500,40.3500,40.4000,5851934,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-24,40.6000,40.6000,39.7000,39.8500,3644794,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-25,40.1100,40.5100,39.6200,39.9200,2312125,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-28,39.6900,40.1800,39.2000,39.3500,2723445,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-29,39.3700,40.4600,39.3400,39.3700,3349352,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-30,38.9700,39.9200,38.4000,39.0800,2735502,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-05-31,39.0800,39.7000,38.6600,39.0400,3656257,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-01,38.7500,39.6000,38.0300,39.0200,4645799,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-04,39.0000,40.2800,38.8500,40.1400,3911366,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-05,40.0100,40.9800,40.0000,40.9400,3292480,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-06,40.9900,41.6000,40.4000,40.7600,3432230,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-07,40.7200,41.4800,40.5800,40.7700,3243389,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-08,40.6800,40.8600,39.5000,40.6100,3531629,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-11,40.5800,41.2000,40.0000,40.5400,2043358,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-12,40.7800,40.9800,39.4200,39.7600,3667248,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-13,40.0500,41.0000,39.7000,40.8700,4359835,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-14,40.8500,41.0000,40.3100,40.7500,3419959,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-15,40.6000,40.8000,39.3500,39.7500,5176968,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-19,36.5600,39.9900,36.5600,39.1100,4837260,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-20,39.0900,39.6000,38.2100,39.0900,3921093,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-21,39.0000,39.9500,38.3800,38.4000,2803046,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
