time,open,high,low,close,volume,note
2018-03-14,24.4500,24.6000,24.0000,24.3200,10007903,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-15,24.1500,24.3900,23.8000,24.1000,7741444,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-16,24.2600,24.4500,23.3000,23.3400,10500197,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-19,23.3300,23.8000,23.1100,23.7300,6454110,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-20,23.2100,24.2800,23.2100,24.1800,8482362,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-21,24.1000,24.4900,24.0000,24.1300,11701183,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-22,24.1200,24.3600,23.3000,23.4900,9475379,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-23,22.7000,23.2500,21.8800,22.4000,12994592,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-26,22.2000,23.0000,21.9000,22.7900,9167917,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-27,23.2000,24.1400,23.1900,23.5000,15424318,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-28,23.3000,24.0700,23.1500,23.6500,12298448,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-29,23.6500,24.3300,23.2300,23.5600,9979954,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-03-30,23.7100,24.1900,23.4200,24.1300,11929355,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-02,24.2000,24.5200,23.5100,23.7800,13005468,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-03,23.3500,23.5200,22.6300,23.0000,15494657,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-04,23.0600,23.5800,22.9300,23.2900,8528361,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-09,23.2100,23.4500,22.7000,23.1800,6135577,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-10,23.1800,23.9500,22.9200,23.8800,8806567,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-11,23.8200,24.4000,23.6900,24.1000,9661893,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-12,24.0300,24.5200,23.8500,24.3200,9238916,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-13,24.3100,24.5000,23.9600,24.1000,5077603,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-16,24.1000,24.3500,23.7000,23.8200,8421482,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-17,23.8100,24.3000,22.9200,22.9200,10946156,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-18,22.9200,23.3500,22.3700,23.1800,11668127,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-19,23.0000,23.4500,22.7900,22.9200,7447731,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-20,22.9000,23.7800,22.7600,22.9400,13273406,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-23,23.1900,23.2600,21.9800,22.2200,12439827,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-24,22.2300,23.3400,21.9200,23.2100,9054126,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-25,23.1600,23.4000,23.0000,23.3200,6008956,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-26,23.4000,23.4000,22.8300,22.9700,5280091,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-04-27,23.0900,23.2300,22.6700,22.7800,7359177,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-02,22.9600,23.1500,22.6800,23.0300,8314989,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-03,23.0300,24.4500,22.8900,24.4400,14644094,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-04,24.3000,24.5500,23.9800,24.2900,8532545,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-07,24.3900,24.8100,24.2300,24.5000,11906376,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-08,24.3700,25.1800,24.2000,24.9800,13550221,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-09,24.8500,25.1500,24.4200,24.5900,7082540,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-10,24.7200,24.8300,24.0800,24.4600,7393520,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-11,24.6800,25.0100,24.3100,24.4800,7418930,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-14,24.4800,25.1800,24.4800,24.9900,11084421,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-15,25.0300,25.1500,24.4000,24.8200,6782230,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-16,24.8200,25.7100,24.8200,25.6100,14649791,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-17,25.5800,25.5800,25.0200,25.1400,8326682,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-18,25.0900,25.0900,24.0800,24.6000,13801178,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-21,24.6000,25.3300,24.4200,24.7500,11150424,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-22,24.7500,25.3100,24.6700,25.3100,7183763,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-23,25.2800,25.4200,24.6200,24.7100,5633108,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-24,24.7100,24.7700,24.1900,24.2300,6609285,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-25,24.1100,24.4100,24.0500,24.1500,4522294,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-28,24.5000,24.9500,24.0000,24.7000,6684418,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-29,24.7000,25.3500,24.5000,24.9900,8346260,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-30,24.6600,24.8200,23.7700,24.0600,9920143,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-05-31,24.2500,24.5500,23.4300,23.8200,9971809,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-01,23.8100,24.0400,23.2000,23.2000,8205905,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
