time,open,high,low,close,volume,note
2025-08-14,34.3800,34.5900,33.5900,33.6700,4823885,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-15,33.6900,34.2800,33.6500,34.1700,3768827,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-18,34.4600,35.3000,34.1900,34.8200,7355556,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-19,34.9900,34.9900,34.3700,34.6700,4552539,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-20,34.4600,35.1500,34.0800,35.1500,5162789,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-21,35.3000,35.4600,34.5500,34.7200,5144415,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-22,34.7300,35.6400,34.6800,35.5700,9422798,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-25,35.9200,36.2500,34.8400,35.5300,9958901,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-26,35.5000,35.6500,34.8800,35.0100,7208589,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-27,35.7000,37.5000,35.6500,36.0100,15031259,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-28,36.2200,36.9700,35.7600,36.9000,12663318,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-08-29,37.2400,37.3500,36.0200,36.3500,7596539,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-01,36.6300,37.0700,35.3800,35.6000,9908983,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-02,35.8200,35.9300,33.6800,34.1400,9157268,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-03,34.2200,34.4800,33.1400,33.2100,5935080,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-04,33.2100,33.4800,32.0900,32.6000,5900865,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-05,32.7500,33.1300,32.1800,33.0000,4643501,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-08,32.9800,33.6900,32.7300,33.6600,5862948,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-09,33.5200,33.6600,32.8100,33.0800,4038045,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-10,33.2000,33.5100,32.9100,33.1500,3613034,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-11,33.0300,33.6200,32.7800,33.3700,6048086,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-12,33.4900,33.6600,33.1500,33.2500,6567938,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-15,33.3500,34.1500,33.0600,33.8800,7004767,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-16,33.8600,34.0300,33.4100,33.7800,3820277,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
