time,open,high,low,close,volume,note
2023-03-17,389.0000,389.9900,375.5000,375.9800,20144747,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-20,374.5400,384.6000,368.0000,379.9500,15836974,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-21,382.2000,394.1800,378.7000,393.7800,17292373,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-22,398.7400,408.6600,397.0200,399.2000,17687241,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-23,398.0000,401.9200,394.4300,398.3800,10028867,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-24,398.4000,402.2600,390.0000,393.5800,11765252,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-27,391.1100,398.6000,384.4200,396.5000,16115721,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-28,394.0000,396.1800,390.2000,392.6000,7590561,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-29,395.2100,404.2800,393.0300,400.1800,13754611,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-30,400.9900,402.0000,397.3500,400.1100,8681922,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-03-31,404.5000,414.9800,404.5000,406.0500,19607572,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-03,406.1100,406.8000,396.0000,398.7100,16763218,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-04,399.9900,399.9900,381.8100,388.0000,20089701,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-06,384.0000,389.5500,380.1500,388.0200,10581589,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-07,386.1500,394.0000,384.3600,390.5100,10058114,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-10,393.8900,402.1100,388.0000,402.0100,17237941,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-11,400.0100,409.8700,398.0000,399.9500,14366294,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-12,400.0000,400.0000,392.0000,392.0100,8736733,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-13,390.0000,391.3600,385.0000,388.2600,10046445,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-14,387.9000,402.3700,387.5000,397.2900,15923654,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-17,396.3300,410.0000,395.8000,407.8800,17663158,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-18,407.8900,418.0000,407.2900,409.0000,14060517,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-19,414.5000,414.8400,406.0000,410.3700,11622355,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-20,410.3000,410.3000,396.0000,396.0000,15843790,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-21,404.5000,414.9200,399.0000,404.9900,25275978,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-24,405.1000,406.0000,392.8800,396.8800,17377384,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-25,398.0000,398.0000,380.0000,385.9000,16898929,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-26,213.0000,227.9500,210.0100,224.5000,39707529,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-27,224.0000,232.4800,222.3100,231.0000,33969078,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-04-28,234.0000,237.3300,226.8900,230.8500,27104800,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-04,231.0000,232.5000,224.5500,225.5200,19409080,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-05,225.0000,230.0000,223.7200,227.0000,16740879,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-08,230.0000,233.7900,226.0600,230.8100,22753135,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-09,230.3800,230.3800,224.0500,225.8300,19653772,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-10,225.8000,234.2500,221.2100,232.5200,28956810,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-11,232.5500,242.9800,231.2000,240.4000,34747371,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-12,241.9900,244.5600,237.9800,237.9800,22309979,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-15,241.0100,244.0000,235.1000,238.2900,26706471,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-16,238.4000,240.9700,236.7700,239.0000,13973953,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-17,239.0000,241.6800,236.0600,240.0000,18246432,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-18,241.3000,241.3700,231.0400,232.4000,24123880,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-19,231.7500,234.1800,230.0000,230.0000,19472168,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-22,229.0000,232.5000,227.0000,230.3000,14679114,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
