time,open,high,low,close,volume,note
2020-12-10,84.3800,86.9800,82.3000,84.1500,10902566,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-11,85.6000,86.1500,81.9600,83.0900,15624143,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-14,84.1000,84.5100,82.1800,84.1900,9675085,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-15,84.3700,87.1500,83.8300,86.4500,9247053,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-16,86.4900,89.0000,84.5300,85.5000,11122720,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-17,85.7700,86.4400,84.7700,85.9400,6905834,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-18,86.0100,89.3300,85.3100,88.1600,14298291,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-21,88.5300,90.8000,87.6000,90.8000,16667196,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-22,90.0000,91.9400,85.7000,86.0000,16918965,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-23,87.0300,90.6000,87.0300,88.5100,13904051,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-24,89.3900,91.6000,87.3100,91.2800,9828642,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-25,91.2800,92.6000,89.7600,92.4500,11181322,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
2020-12-28,93.0000,93.0200,88.7500,90.9000,12213289,sz.300124 | 汇川技术 | baostock | adjustflag=3 raw
