time,open,high,low,close,volume,note
2026-03-05,5.1600,5.2200,5.1300,5.1900,137386088,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-06,5.1800,5.2500,5.1600,5.2300,129930600,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-09,5.2000,5.2800,5.1800,5.1900,148415701,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-10,5.2000,5.2300,5.1100,5.1500,116115439,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-11,5.1700,5.2800,5.0800,5.2800,180665852,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-12,5.2800,5.4200,5.2600,5.4100,194442388,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-13,5.4200,5.4400,5.3000,5.3200,170547130,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-16,5.3100,5.3800,5.2500,5.2800,162211874,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-17,5.2500,5.3400,5.2200,5.2300,111923049,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-18,5.2200,5.3000,5.1700,5.2300,102251535,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-19,5.2100,5.2900,5.2000,5.2200,115222029,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-20,5.2200,5.3700,5.2000,5.2300,188832077,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-23,5.1900,5.2600,5.0900,5.1200,182845630,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-24,5.1800,5.2800,5.0900,5.2700,186064238,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-25,5.2500,5.5200,5.1800,5.4300,330874782,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-26,5.4300,5.4300,5.2600,5.3300,257871972,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-27,5.1600,5.2100,5.0600,5.1000,319341152,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-30,5.0500,5.0500,4.8200,4.8400,305743580,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-03-31,4.8100,4.8200,4.6900,4.7100,231157628,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-01,4.7400,4.7600,4.7100,4.7300,106621390,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-02,4.7300,4.7300,4.6500,4.6700,111766692,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-03,4.6700,4.6800,4.5300,4.5500,114939524,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-07,4.5500,4.5700,4.5000,4.5200,90161979,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-08,4.5600,4.6400,4.5500,4.6400,110876264,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-09,4.6300,4.6300,4.5700,4.5800,78661437,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
