time,open,high,low,close,volume,note
2023-08-15,53.0800,53.3000,50.9600,51.1500,15487883,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-16,51.0000,51.1500,48.2000,48.7500,18680599,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-17,48.1200,49.6800,47.9800,48.8100,12356810,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-18,49.8500,49.8600,48.5300,48.6200,11831732,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-21,48.5000,49.2600,47.7200,47.8000,7782598,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-22,47.9700,49.3600,46.8500,49.1600,12681805,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-23,48.5100,49.0800,48.1200,48.4300,8480556,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-24,49.2500,50.8000,48.3100,49.7000,15163846,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-25,49.0000,50.2800,47.7500,48.0200,11550183,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-28,52.8000,52.9400,48.5100,48.7500,11969722,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-29,48.7200,51.1900,48.3300,50.8000,12536463,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-30,52.0000,52.8000,50.8000,51.4700,14183577,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-08-31,51.1000,52.1000,51.0200,51.2400,9850519,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-01,51.4000,52.2000,50.3600,51.3600,7613193,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-04,51.1100,51.7000,50.7600,51.6200,7837352,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-05,51.5000,52.8000,51.3300,51.6200,11797244,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-06,51.3600,53.9800,51.1300,53.7900,13369374,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-07,53.4800,53.7800,50.7200,51.5000,14084342,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-08,51.4000,52.4100,50.9900,51.6500,6284994,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-11,51.6400,52.3600,51.3600,51.8100,5697377,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-12,51.7700,52.0500,51.0800,51.1000,5777894,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-13,51.0900,51.7400,50.2500,50.8800,6801794,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-14,50.8000,51.2300,50.1200,50.3800,5435168,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-15,50.6000,52.3000,50.0500,51.7700,11156730,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-18,51.5400,51.5400,50.0200,50.9800,7036617,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-19,50.4000,52.0800,50.2800,50.8300,7338104,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-20,50.5600,52.4800,50.5600,50.7500,7786201,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-21,50.5500,51.1200,49.4800,49.7000,7308225,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-22,49.7000,51.2700,49.2500,51.2700,8372564,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-25,51.0000,51.2800,49.8100,50.0000,6361111,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-26,50.1500,50.2800,49.2100,49.2400,5701891,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-27,49.2400,50.2000,49.2400,49.5500,5065946,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-09-28,49.5800,50.1500,49.3100,49.7000,6261870,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-09,49.5800,51.2800,49.5000,50.6100,6783433,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-10,50.9900,54.2000,50.5000,53.3700,17976470,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-11,53.1800,53.9900,52.8800,53.7400,12091772,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-12,54.3500,54.4800,53.0800,53.3800,7102732,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-13,53.1500,53.8000,52.5300,53.0000,7264888,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-16,52.6300,53.0000,50.9800,51.6000,8091140,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-17,51.9100,52.9600,50.8500,52.8500,7329745,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-18,52.3100,53.0000,50.6800,50.7500,6375957,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-19,50.5300,52.0800,50.3000,50.4000,7679236,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-20,50.1800,50.1900,47.7600,48.0000,12095801,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-23,47.3700,48.3000,46.8100,47.4000,6708669,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-24,47.8000,48.7400,46.8200,48.1900,6902059,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-25,48.6000,49.1600,48.0000,48.7400,5313660,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-26,48.3700,49.1000,48.0000,48.6300,5289438,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-27,48.3900,50.0100,48.1200,49.7900,7338021,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-30,49.3500,54.1000,49.2200,53.6000,19838541,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-10-31,56.0000,56.4900,54.0600,55.0300,16200983,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-01,55.1600,56.5000,54.9800,55.2700,12506517,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-02,55.3200,56.3200,55.1600,55.4000,8094766,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-03,55.1800,57.4200,55.1800,56.7000,12108928,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-06,56.6900,58.1800,56.5600,57.3000,11979779,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-07,57.0000,58.6000,56.9800,57.8100,10925306,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-08,57.3600,58.4800,57.0800,57.5400,9742633,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-09,57.5400,57.8000,56.2400,56.8800,9343699,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
2023-11-10,56.8000,57.3800,56.0000,56.6000,7829487,sh.688008 | 澜起科技 | baostock | adjustflag=3 raw
