time,open,high,low,close,volume,note
2025-03-28,26.8000,26.9800,26.5500,26.6900,30896534,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-03-31,26.6000,26.6300,25.7800,26.1400,58359860,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-01,26.2900,26.5700,25.9500,26.0000,43398631,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-02,26.0000,26.0900,25.6300,25.9900,40486005,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-03,24.7500,24.8000,23.3900,23.3900,173411025,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-07,21.0500,21.0500,21.0500,21.0500,16963400,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-08,18.9500,19.1900,18.9500,18.9500,79545471,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-09,17.4000,19.0200,17.1100,18.8800,282500927,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-10,20.7600,20.7700,19.9000,20.7100,281173103,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-11,20.2100,21.6500,19.8000,21.0800,223356356,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-14,22.5000,22.5800,21.2100,21.3300,215982174,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-15,21.1000,21.5300,20.4800,20.8800,118494568,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-16,20.6200,20.6700,19.8900,20.1800,98659625,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-17,20.0000,20.5800,20.0000,20.1500,71375124,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-18,20.1800,20.6600,20.1700,20.6400,82378080,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-21,20.6500,21.4000,20.3500,21.3400,93672785,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-22,21.4200,21.4200,20.8200,20.8300,80870603,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-23,21.6000,22.1300,21.1500,21.4000,112283016,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-24,21.4100,21.4700,20.7700,20.8900,68379363,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-25,20.8900,21.4000,20.8600,21.0400,74823634,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-28,20.8600,20.9700,20.5000,20.5500,60416874,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-29,20.5500,20.8800,20.3300,20.8500,53417924,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-04-30,20.9300,21.2900,20.7000,21.1800,59303182,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-06,21.3800,22.0800,21.3800,22.0700,89617122,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-07,22.5600,22.6400,21.5500,21.7200,94523242,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-08,21.7200,22.4800,21.6100,22.2700,98355534,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-09,22.1400,22.1600,21.7500,21.9300,64207489,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-12,22.7000,23.3000,22.4800,23.1600,155824716,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-13,23.9700,23.9900,22.8500,22.8700,157183636,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-14,22.8400,23.0000,22.3600,22.6900,94170596,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-15,22.6700,22.6700,22.0000,22.0400,61836506,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-16,21.9000,22.2000,21.8100,22.0000,44581816,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-19,21.9000,21.9100,21.4000,21.8200,67119717,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-20,21.6500,22.0900,21.4600,21.9400,61481310,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-21,21.8000,21.8200,21.5500,21.7000,41725379,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-22,21.6200,21.8900,21.4000,21.4600,42360578,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-23,21.5500,21.7300,21.1500,21.1900,48732763,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-26,20.5500,21.2800,20.5400,21.2500,50301989,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-27,21.2400,21.3400,20.8900,20.9400,36884338,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-28,21.0600,21.3900,20.9100,20.9600,35246438,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-29,21.2500,21.8600,21.2400,21.5600,82458812,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-05-30,21.3000,21.3100,20.8900,20.9100,50460307,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-03,20.7300,21.0300,20.7200,20.9400,28509600,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-04,21.0400,21.4200,20.9600,21.2500,41995882,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-05,21.1000,22.3700,21.0900,22.2300,120347584,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-06,22.1500,22.2800,21.8200,21.9100,59385074,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
