time,open,high,low,close,volume,note
2020-02-18,78.5800,82.3000,76.5100,79.0500,37273936,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-19,82.1800,83.4000,77.0200,78.8400,33001648,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-20,80.1100,80.9900,77.6100,79.1500,25838687,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-21,79.8000,80.8800,77.0300,80.6600,28349052,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-24,79.2400,79.3000,74.7600,77.5100,37456972,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-25,74.7900,85.2600,74.4000,82.6500,45733294,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-26,79.1300,80.6400,74.3900,74.3900,47744147,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-27,74.2000,75.8900,71.5000,72.6500,33792187,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-02-28,69.0200,70.8800,66.1100,66.5500,38843816,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-02,68.9400,70.2300,66.5600,69.3000,28798204,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-03,72.0100,74.5100,69.1500,69.9600,28070052,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-04,69.2400,72.2000,68.7500,70.7700,26031563,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-05,72.0000,72.5000,68.7700,70.5900,22728944,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-06,69.1400,72.5500,68.8900,71.1200,20699826,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-09,69.0000,70.5000,67.0100,67.5100,21492024,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-10,66.7700,72.4000,66.3700,72.0000,30903026,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-11,72.7400,72.7400,69.9000,70.4800,23365582,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-12,68.2900,69.4700,66.6700,67.7800,22229773,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-13,63.0000,68.3200,63.0000,66.6600,20007088,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
