time,open,high,low,close,volume,note
2026-05-22,9.3300,9.3500,9.2000,9.2300,38898523,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-25,9.2300,9.3300,9.2000,9.3200,26657612,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-26,9.3100,9.5400,9.2700,9.5000,37258951,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-27,9.4400,9.6500,9.4300,9.6200,34077334,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-28,9.6600,9.8000,9.6000,9.6200,45221294,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-05-29,9.5900,9.9200,9.5800,9.9000,59631552,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-01,9.9100,10.1100,9.7200,10.1000,65890705,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-02,10.0700,10.2500,9.9800,10.1800,56457806,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-03,10.1100,10.1800,9.9700,10.1300,47243485,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-04,10.0800,10.1800,9.9400,9.9800,32954665,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-05,10.0100,10.1200,9.6700,9.7300,36369000,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-08,9.7100,9.7600,9.5500,9.6700,37399810,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-09,9.6800,9.7300,9.5500,9.6800,24343051,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-10,9.6300,9.7700,9.5800,9.5800,24605454,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-11,9.5600,9.7400,9.5100,9.7000,23721964,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-12,9.6900,9.8600,9.6100,9.8600,30518151,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-15,9.8300,9.8400,9.4800,9.6400,54479075,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-16,9.5700,9.6900,9.5000,9.5400,32804774,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-17,9.5600,9.5700,9.4000,9.4400,29218546,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-18,9.4000,9.4700,9.2500,9.3000,34868860,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-22,9.2900,9.3900,9.1000,9.3700,43551604,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-23,9.3700,9.5700,9.3100,9.3800,31406995,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-24,9.3900,9.3900,9.1300,9.1400,32086317,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-25,9.1300,9.1300,8.8900,8.8900,39131392,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-26,8.9100,9.0700,8.8500,9.0100,31235483,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-29,8.8100,9.0100,8.6600,8.9600,31298904,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-06-30,8.9500,8.9700,8.7900,8.8900,22220986,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-07-01,8.8700,9.0700,8.8400,8.9900,25000380,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-07-02,9.0000,9.1700,8.8700,9.1300,34627815,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-07-03,9.1300,9.2800,9.1000,9.1900,23363011,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-07-06,9.1700,9.2600,9.0200,9.2300,22737152,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-07-07,9.1900,9.3200,9.0900,9.2500,27114477,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-07-08,9.2400,9.5000,9.1500,9.4900,41590690,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
2026-07-09,9.4300,9.6500,9.4200,9.6000,36307797,sh.600025 | 华能水电 | baostock | adjustflag=3 raw
