time,open,high,low,close,volume,note
2022-10-14,34.4900,35.4800,34.2000,35.0500,10760969,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-17,35.0100,35.6700,34.8900,35.3800,10108570,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-18,35.3600,35.7200,34.0200,34.2900,10585995,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-19,34.2900,34.7400,33.8000,34.4300,9083424,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-20,34.2200,35.1600,34.0200,34.9500,13319819,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-21,35.2100,35.3800,34.0600,34.2700,10681408,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-24,34.0000,34.9900,33.2500,33.7100,19787415,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-25,33.9900,33.9900,31.5300,32.0400,23561001,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-26,31.9800,34.2300,31.8600,33.9800,22588447,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-27,35.2000,37.3800,35.2000,37.3800,36786342,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-28,37.3800,39.3000,36.9000,38.4500,62313295,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-10-31,38.0000,42.2900,37.2400,41.6800,54858893,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-01,41.6300,43.1500,39.9600,41.9200,37871503,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-02,41.6500,42.1500,40.6100,40.8000,32149813,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-03,40.0300,41.1900,37.8100,38.6800,44675592,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-04,38.6700,40.9000,38.5000,40.4800,34787952,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-07,39.7000,41.3300,39.1800,39.6100,27034457,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-08,39.6600,40.5900,38.8000,40.4500,19129612,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-09,40.0200,40.4300,39.5000,39.6500,13642435,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-10,39.5600,41.1500,39.3000,40.3900,19006786,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-11,42.0000,43.5000,40.3100,41.1000,27604762,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-14,41.9800,42.1000,40.5000,41.5300,18902301,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-15,40.9400,43.9500,40.9400,43.1000,28324182,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-16,43.0500,43.9700,42.2800,42.7900,12416911,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-17,42.8000,43.6700,42.2200,43.2000,17461639,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
