time,open,high,low,close,volume,note
2026-05-07,5.3400,5.3500,5.2700,5.2700,355619036,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-08,5.2900,5.3000,5.2100,5.2200,344056050,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-11,5.2300,5.2300,5.1800,5.2100,332002849,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-12,5.2200,5.2300,5.1800,5.2000,269596062,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-13,5.2000,5.2100,5.1600,5.1700,238102142,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-14,5.1800,5.2000,5.1200,5.1500,334049992,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-15,5.1300,5.1700,5.0900,5.1300,281343121,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-18,5.1300,5.1500,5.0900,5.1400,194092929,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-19,5.1200,5.1500,5.1000,5.1300,169852526,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-20,5.1300,5.1500,5.0900,5.1000,179544457,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-21,5.0800,5.1000,5.0200,5.0300,252628684,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-22,5.0200,5.0400,4.9500,4.9600,261236996,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-25,4.9600,4.9900,4.9200,4.9200,200977587,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-26,4.9200,4.9400,4.8500,4.8700,324307826,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-27,4.8600,4.8600,4.7300,4.8300,372564289,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-28,4.7800,4.9000,4.7800,4.8100,281068738,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-05-29,4.8000,4.8600,4.7800,4.8500,330665790,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-01,4.8400,4.8900,4.8000,4.8700,349235315,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-02,4.8800,4.9500,4.8000,4.8200,401250379,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-03,4.8300,4.8800,4.7700,4.8600,346648076,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-04,4.8400,4.8900,4.8200,4.8200,233299145,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-05,4.8200,4.9600,4.8100,4.8900,379646390,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-08,4.8800,4.9400,4.8400,4.9000,317616439,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-09,4.8700,4.8800,4.7700,4.7900,309485500,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-10,4.7700,4.8000,4.7500,4.7800,175138166,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-11,4.7800,4.8200,4.7300,4.7900,206587205,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-12,4.7700,4.9500,4.7600,4.9400,488059055,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-15,4.9500,5.0500,4.9400,4.9900,395302487,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-16,5.0200,5.0300,4.9500,4.9700,244451092,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-17,4.8800,4.9100,4.8300,4.8500,219632559,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-18,4.8500,4.8500,4.7100,4.7100,232692301,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-22,4.7100,4.8000,4.6400,4.7700,258218830,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-23,4.7500,4.9000,4.7200,4.7300,298852063,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-24,4.7400,4.7500,4.6500,4.6600,248041548,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-25,4.6600,4.6600,4.5300,4.5500,274687353,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-26,4.5800,4.5900,4.4500,4.5200,270682708,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-29,4.5200,4.6100,4.4300,4.6100,263734455,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-06-30,4.5800,4.5900,4.4500,4.4600,260381301,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-07-01,4.4600,4.5700,4.4300,4.5400,252559415,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-07-02,4.5400,4.6400,4.5200,4.6000,245305877,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-07-03,4.6200,4.7300,4.6100,4.7000,292211983,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-07-06,4.7000,4.8400,4.6700,4.8200,290675604,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-07-07,4.8200,4.8200,4.6900,4.8000,246031355,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-07-08,4.8000,4.8800,4.7600,4.8300,245572589,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
2026-07-09,4.8300,4.8700,4.7700,4.8100,217152171,sh.600028 | 中国石化 | baostock | adjustflag=3 raw
