time,open,high,low,close,volume,note
2025-07-09,145.0000,149.3600,144.0500,145.3000,41509561,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-10,146.5200,148.6800,142.0000,146.5900,43540397,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-11,144.7400,147.8800,142.5500,145.2800,31098862,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-14,144.3300,150.5000,144.3300,149.8200,38853191,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-15,155.3000,174.9900,155.3000,174.8100,92406424,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-16,179.8000,181.9700,169.6700,170.7600,90585177,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-17,169.1900,178.9900,169.1700,176.8500,60463077,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-18,181.1800,192.0100,179.0000,180.6200,61156221,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-21,179.8900,188.4000,177.1800,187.9500,59683509,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-22,187.1000,197.1000,181.4000,184.4400,59291285,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-23,179.0000,187.8800,176.0000,186.1800,40578373,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-24,190.5000,192.9600,181.6700,185.2000,44208006,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-25,186.0000,189.9000,184.5100,185.2200,28787743,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-28,186.0000,193.2300,184.2000,191.8700,43894765,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-29,198.0100,210.9900,198.0100,209.9300,58440368,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-30,207.0600,211.8000,203.5900,210.6000,39050574,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-07-31,221.0000,228.6000,215.9300,217.6100,64406594,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-01,212.5200,220.8800,207.6300,210.6300,47594674,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-04,207.5300,210.3400,204.5000,208.4200,33083739,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-05,216.5000,218.3700,203.5000,210.9200,41413757,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-06,206.7100,213.5800,206.6100,210.5200,25530156,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-07,210.5200,216.0000,197.2000,208.4600,45307651,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-08,207.0000,213.8800,205.0000,209.3000,32731508,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-11,210.0000,220.5000,209.9900,214.7500,35076252,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-12,215.0000,226.3900,213.0000,225.6800,43082931,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-13,226.7500,252.9600,224.0000,252.0000,55126547,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-14,246.4000,248.0900,239.4000,239.4700,40760133,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-15,241.4700,245.4500,235.1100,238.0500,35054080,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-18,241.6200,268.0000,238.0800,260.0000,46984979,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-19,260.0000,277.5800,258.9000,275.5000,40978934,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-20,261.9900,269.0000,257.4100,267.7900,40819732,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-21,272.8000,274.6000,256.1000,265.2200,39443593,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-22,259.1100,280.8800,259.0000,278.9000,38258165,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-25,288.0000,320.0000,288.0000,320.0000,49806131,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-26,313.6000,322.8000,306.0000,314.0000,36191921,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-27,320.0000,345.9000,311.3100,325.1000,61074635,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-28,322.8700,359.5800,322.4500,359.0300,58391643,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-08-29,352.0000,367.7000,344.9700,354.9200,49033310,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-01,372.7500,413.8000,364.0000,406.1000,59865089,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-02,402.0200,419.6000,373.8700,384.0000,78412730,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-03,392.0000,429.9900,379.1000,426.1900,71235178,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-04,436.0000,448.0000,363.8800,369.1400,93905671,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
