time,open,high,low,close,volume,note
2025-09-19,150.8800,151.4000,147.9000,147.9000,6742655,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-22,150.2300,151.9800,144.7100,145.9300,7685592,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-23,145.7000,147.4100,141.9900,143.8900,6907583,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-24,143.9200,147.8700,143.1900,147.2300,7302239,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-25,147.5200,149.5900,146.4100,148.7500,6352903,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-26,147.0000,148.5000,144.0100,144.3200,7248074,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-29,144.3000,148.4600,143.0800,147.9000,6902081,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-09-30,150.6600,151.9500,148.7300,151.7000,7510575,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-09,152.0000,159.0600,150.2500,157.5500,12620558,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-10,156.8800,158.8800,155.1600,156.4000,7731793,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-13,151.1500,156.6900,150.8800,153.0300,8471035,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-14,153.0300,154.9600,147.5100,147.8000,8116801,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-15,147.7800,149.1500,146.3000,148.3600,4904107,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-16,148.5500,150.3000,147.0600,147.6600,4209243,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-17,146.7700,148.8800,143.2000,143.8900,4803709,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-20,145.0200,145.0200,140.5300,141.0500,4883934,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-21,142.0000,144.2700,142.0000,143.0300,4046874,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-22,142.6000,143.6200,140.0000,140.0000,3961277,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-23,140.0100,140.8600,138.5000,140.0000,3004703,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-24,142.0000,143.2600,141.1300,142.1600,4176690,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-27,143.5000,147.7900,143.0300,143.8300,6664109,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-28,144.4900,145.9700,143.1300,144.8100,4373411,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-29,144.2000,146.5600,143.0400,146.5600,5592428,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-10-30,148.2500,154.9000,141.0100,141.0300,12913324,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
