time,open,high,low,close,volume,note
2026-05-14,6.6100,6.6700,6.4900,6.5300,29340226,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-15,6.5500,6.6900,6.5000,6.5100,35069701,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-18,6.5100,6.5200,6.1800,6.2300,53796807,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-19,6.2500,6.2500,6.0900,6.1900,29609902,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-20,6.1500,6.2000,6.0500,6.1100,29614490,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-21,6.0900,6.2300,5.9000,5.9400,38880368,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-22,5.9600,6.4600,5.9500,6.3800,67619459,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-25,6.4800,6.7200,6.2100,6.6700,84319593,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-26,6.6100,6.7000,6.4800,6.5500,40980543,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-27,6.5100,6.5700,6.3000,6.3200,33495548,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-28,6.9400,6.9500,6.9300,6.9500,50855837,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-05-29,7.6500,7.6500,6.9200,7.0000,267223718,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-01,6.8600,7.4700,6.6800,7.1500,174002077,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-02,7.0300,7.4900,7.0300,7.3700,172586905,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-03,7.3000,7.5500,7.0700,7.1300,166282832,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-04,7.0100,7.5800,6.9100,7.4700,179932610,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-05,7.3800,8.2200,7.3700,8.2200,307182490,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-08,7.8000,8.1500,7.6300,7.7000,214481623,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-09,7.9300,8.0200,7.4100,7.9600,202103896,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-10,7.7700,8.5000,7.7300,8.4100,227065327,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-11,8.2100,8.3700,7.5700,7.7500,221313411,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-12,7.9600,8.1000,7.3000,7.4100,180767687,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-15,7.4200,8.0000,7.4200,7.8000,171103884,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-16,7.8000,8.4400,7.7600,8.2500,186130606,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-17,8.1600,8.6500,8.1200,8.4800,208066687,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-18,8.3500,9.0200,8.3000,8.4600,209203444,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-22,8.7600,9.0100,8.4300,8.8500,213101951,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-23,8.6200,8.6400,8.1500,8.2200,179551612,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-24,8.1000,8.2700,7.9100,8.0100,144121546,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-25,8.0400,8.4500,7.8200,8.2800,180630444,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-26,8.1100,8.4700,7.8500,7.8600,155296573,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-29,7.8000,8.3800,7.5900,7.7500,171623850,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-06-30,7.6800,7.8300,7.4100,7.6000,144433105,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-07-01,7.5800,8.3600,7.5500,8.2300,253295357,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-07-02,7.9800,8.5300,7.8100,8.2100,206242385,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-07-03,8.1200,8.3000,7.6100,7.6300,163559450,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-07-06,7.7000,8.1200,6.9900,7.0100,173485888,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-07-07,6.9400,7.0500,6.6600,6.7000,99365796,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-07-08,6.6300,6.7300,6.1500,6.1600,112126457,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
2026-07-09,6.2800,6.3400,5.9700,6.1800,98559035,sh.600063 | 皖维高新 | baostock | adjustflag=3 raw
