time,open,high,low,close,volume,note
2020-08-05,107.0000,112.3000,106.0600,111.7000,9029195,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-06,112.2300,114.8800,109.5000,112.4600,9558503,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-07,112.4900,114.5000,105.9600,107.6800,10960632,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-10,107.5100,107.8500,101.1800,105.5500,9097331,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-11,105.1500,107.0200,102.8100,103.0000,8438949,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-12,103.0500,103.8700,98.2800,101.0100,9516564,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-13,102.0000,102.0000,99.7000,100.5000,5414559,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-14,100.5600,101.8000,98.3800,100.4800,7479074,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-17,100.4800,101.3300,99.5300,100.7800,5245258,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-18,100.5100,103.2900,100.3100,102.5800,7022365,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-19,102.6400,102.6400,99.3100,99.3100,4713318,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-20,99.3100,101.2900,98.1900,101.0000,5614969,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-21,101.0400,103.2600,101.0400,103.1800,6001023,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-24,103.1800,103.7900,100.0000,103.5500,5731064,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-25,103.6600,106.6800,103.6100,105.3000,6582836,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-26,106.3400,110.2000,105.6000,107.0000,8268797,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-27,108.0000,111.1100,107.0200,110.5000,6202262,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-28,110.5400,117.6600,109.6300,117.4000,8377784,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-08-31,116.0000,116.0000,111.0000,112.0000,12954143,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-01,112.0000,114.0000,111.2800,112.4000,6835728,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-02,111.8000,114.5800,111.8000,114.3000,6211856,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-03,113.7200,115.0000,112.1000,113.8000,4801417,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-04,110.2500,111.5000,107.0200,108.7800,6614149,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-07,108.7400,109.2900,103.8000,103.9800,10422396,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-08,106.0100,108.6000,103.3300,104.0800,6029240,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-09,102.3100,105.1000,99.9800,100.0100,7742686,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-10,101.0500,101.9300,99.0400,99.8300,5562313,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-11,99.8300,101.1400,99.5400,100.2000,5371627,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-14,101.8800,103.2000,100.2200,100.6500,5132785,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-15,100.3800,103.4500,100.0300,102.5000,3256595,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-16,104.3600,104.3800,98.0100,98.6000,7969612,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-17,98.6000,99.9300,95.7600,98.4700,6862173,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-18,96.4000,98.4700,95.8000,98.4000,6750195,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-21,97.9700,98.4000,96.2200,97.6000,3067106,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-22,96.7000,98.6400,96.7000,97.0500,3544099,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-23,97.4000,100.3000,97.2800,99.3900,6139107,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-24,98.7100,101.0000,97.5000,99.6300,4653658,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-25,99.8100,102.9700,99.8100,100.7500,5051111,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-28,101.9900,102.5000,99.0000,100.5800,3540429,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-29,100.0900,104.2800,99.8000,102.9000,4963084,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-09-30,102.7000,104.3000,101.5000,102.9500,3219736,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-09,103.9000,109.3700,103.2100,107.9800,6736898,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-12,107.4200,110.8800,107.4200,110.2500,5811851,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-13,110.0200,114.8000,110.0100,113.1400,5107878,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-14,113.1400,114.9800,112.1200,113.7000,5068327,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-15,113.0200,114.4400,112.5000,113.9600,3883991,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-16,113.9600,115.5000,112.6000,114.7000,3626947,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-19,114.6000,115.1600,111.8700,112.9000,5218942,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-20,112.9900,117.8700,112.9300,117.6500,7136006,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-21,117.9900,120.0000,116.6000,119.0100,5689244,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-22,119.1600,119.9000,115.0300,118.6000,4653208,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-23,118.6000,120.0000,113.1800,114.9900,6158200,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-26,114.6400,116.4600,111.2600,114.9200,3535204,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-27,114.7300,123.6000,114.7300,121.8600,9234468,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-28,122.0300,127.6900,121.0000,126.6000,6423784,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-29,125.3400,130.5000,125.0100,128.0300,5820215,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-10-30,126.5000,127.6600,121.0000,124.0000,6713238,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-02,122.5000,124.3500,122.0100,122.6600,3962477,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-03,123.4000,123.8500,121.0000,122.8000,4178741,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-04,123.2400,126.8500,122.0000,125.5000,4696004,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-05,127.4900,127.4900,122.5000,123.4000,4664516,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-06,123.4000,123.9700,120.1000,122.8000,3854713,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-09,123.1800,128.2500,121.5200,128.0000,5296358,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-10,126.0200,127.7500,122.6200,125.5600,4468158,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-11,123.3300,125.9200,121.5800,123.5000,6178196,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-12,124.0000,126.9000,122.9000,123.8800,4489673,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-13,124.1500,125.4500,122.7100,124.6100,4078313,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-16,126.0000,130.7100,125.2500,128.7800,8696614,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-17,128.0100,130.7900,124.7700,126.5300,6548705,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-18,125.5200,127.6300,115.0000,116.4800,11731134,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-19,116.4800,116.8400,112.0000,115.4000,10457508,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-20,116.0800,120.8800,115.5100,118.0000,5426179,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-23,118.7000,119.6800,116.3600,117.3100,5519113,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-24,117.3900,117.9900,114.7300,117.2300,3611951,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-25,116.8000,117.2300,113.7900,114.0000,3978699,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-26,113.2100,115.7000,112.3000,113.3300,4387126,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-27,113.5000,114.8600,111.5100,113.9000,3192349,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-11-30,113.8500,114.0700,110.8100,114.0000,5673327,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-01,113.4100,120.2000,113.4100,119.0000,7446120,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-02,118.0200,120.0800,117.7100,119.0200,3275443,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-03,119.0000,123.1200,118.3100,122.6000,5410867,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-04,122.6500,130.1000,121.8900,130.0000,7874227,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-07,127.7000,134.9800,127.0900,133.0000,6952097,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-08,134.6800,137.8000,132.1900,135.4500,6503578,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-09,135.1200,137.0000,131.9500,133.5800,6409083,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-10,133.1400,141.4000,131.5800,139.0900,9319210,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-11,138.8000,141.6000,135.2000,137.7200,8342471,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-14,138.4900,139.0000,132.5900,138.0000,6854857,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-15,138.5000,139.5500,136.2000,138.7000,4005951,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-16,138.8100,147.1300,138.8100,145.8500,5496822,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-17,145.2000,151.9000,145.2000,146.8700,7459752,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-18,146.9100,150.8000,144.7000,150.7800,6002529,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-21,148.9400,152.4500,148.1000,151.0200,4931920,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-22,151.1200,156.5800,149.2000,150.0000,5018281,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-23,150.0700,154.8900,147.0100,154.2800,5211952,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-24,153.5000,159.4800,152.8400,159.4000,4003365,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-25,158.0000,169.4800,157.9000,166.5000,4614725,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-28,166.5000,167.9700,163.1000,166.0000,4475332,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-29,165.1500,167.4500,160.0000,163.0300,3961158,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-30,162.3600,167.9800,162.3600,163.3500,3529713,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2020-12-31,163.0000,164.2000,155.0000,161.6100,7223732,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-04,159.9800,173.0000,158.2000,166.8200,6857172,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-05,168.0000,173.6400,167.1400,171.1900,5124025,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-06,171.0000,171.7600,161.0000,165.8000,10396083,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-07,163.3100,170.7400,162.4000,170.5000,7546207,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-08,170.3000,173.4100,162.6500,165.0000,6540168,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-11,164.0000,168.1000,161.2000,164.8800,6514376,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-12,161.8100,164.5000,158.5700,163.5000,8468788,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-13,164.4200,164.8900,155.7600,161.5000,8662930,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-14,160.9400,167.1000,158.6100,161.4000,5643296,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-15,159.6800,162.4800,155.7700,162.2000,5473813,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-18,159.9200,163.8900,155.9800,162.3000,6117198,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-19,163.4800,165.8900,158.9500,159.0600,4068203,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-20,160.8000,176.0900,159.8600,173.9500,10306601,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-21,177.0000,183.8000,175.3000,176.0400,8530944,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-22,177.0000,187.6100,177.0000,183.9000,9871271,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-25,183.9000,193.2000,183.1000,191.5100,10472451,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-26,186.6300,187.6000,176.0000,178.0100,8355740,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-27,174.6000,177.3200,169.1500,170.6200,9549992,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-28,167.2100,175.0600,167.0100,167.9000,7957409,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-01-29,171.1100,173.6600,165.9600,167.3900,7429789,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-01,167.8700,178.3900,167.8500,175.9500,7899163,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-02,178.0000,182.3300,174.1100,182.0000,6476298,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-03,180.2000,190.1000,179.0000,183.6400,6694782,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-04,181.8000,183.8000,176.5500,178.6300,5395499,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-05,178.5100,186.4000,175.5000,181.8600,7233332,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-08,181.9800,187.0200,176.6300,185.9100,6554577,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-09,186.9900,188.8900,184.0200,187.0000,4112999,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-10,186.5400,193.8900,183.6500,190.3600,5776797,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-18,193.5100,194.0000,176.0000,179.3500,8105316,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-19,178.0000,184.5000,174.0000,183.6600,7419123,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-22,183.5700,183.9000,165.8900,167.0000,11060632,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-23,161.3300,167.7900,160.3300,160.8700,9957749,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-24,163.5000,163.5100,151.3000,152.9000,10063513,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-25,153.9900,155.0400,148.3300,149.3100,7201314,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-02-26,145.0600,146.0000,138.1400,140.5800,14620868,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-03-01,144.0000,146.0000,139.0000,145.4300,8853867,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
2021-03-02,146.0000,147.6900,140.3000,141.6400,7762353,sz.300347 | 泰格医药 | baostock | adjustflag=3 raw
