time,open,high,low,close,volume,note
2019-07-22,64.8300,65.2000,63.8000,64.5200,5737260,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-23,64.8000,65.0600,64.3200,64.9300,4447588,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-24,65.1000,65.8800,64.7000,65.6600,8062428,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-25,65.6300,66.0000,64.5800,65.5800,4958691,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-26,65.2500,67.3900,65.0600,67.2000,7884820,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-29,67.0100,68.1000,66.7800,66.9200,5232966,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-30,67.3000,67.4600,66.3800,66.4300,4299069,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-07-31,66.4000,66.5000,64.7500,64.9900,5270911,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-01,65.0000,65.4700,64.5100,64.8900,4059276,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-02,63.8000,64.3900,62.9300,63.8600,5844216,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-05,63.3000,63.7700,62.5400,62.8000,5531985,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-06,61.8100,63.0200,61.6200,62.9000,5320581,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-07,63.2700,63.7300,62.7600,62.9900,4460804,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-08,63.7800,65.5500,63.7100,65.1700,9500261,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-09,65.1500,66.1000,64.8600,65.1800,9586147,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-12,65.1600,67.6800,65.1300,67.6000,8136670,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-13,67.1100,69.6900,67.0500,68.8600,12109429,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-14,67.0000,72.5800,65.9900,70.2500,24937812,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-15,69.0000,70.2100,68.0100,68.3600,12423670,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-16,68.5400,72.7500,68.5400,71.9000,12750691,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-19,72.5100,74.9700,72.5000,74.0000,14379870,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-20,73.1000,78.3800,73.1000,76.5100,17415540,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-21,76.6500,77.3900,75.4000,76.8300,8375305,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-22,77.5000,79.1800,76.7000,77.4000,7772370,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-23,77.2900,82.6000,77.1000,82.5700,14183429,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-26,81.7000,82.5500,80.6500,82.0900,9604088,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-27,83.0000,86.3000,82.5400,83.3200,16643368,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-28,83.6500,84.2200,81.6600,83.2700,8424924,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-29,82.7000,83.5600,81.6000,82.7500,6592217,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-08-30,83.0000,88.1000,82.9200,86.7000,10133528,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
