time,open,high,low,close,volume,note
2025-09-01,98.5100,101.9600,96.8600,100.1400,14624162,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-02,99.0000,99.4800,93.1200,94.0000,11019272,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-03,94.8900,95.5900,91.7100,92.0700,6237930,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-04,91.6500,92.5900,85.3800,86.8800,9423155,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-05,87.0000,94.9600,86.3100,93.5900,10479064,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-08,93.0000,96.9900,92.8000,96.9500,9544016,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-09,95.9000,96.1800,92.8100,93.0600,6050131,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-10,93.0600,96.0000,92.0100,92.0700,5741600,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-11,92.1200,97.8000,92.1200,97.5000,11011365,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-12,101.0000,115.1000,100.0300,110.9800,32197345,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-15,116.3100,116.6000,108.0000,111.3100,26055177,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-16,110.7500,119.3100,109.1400,115.2300,23831521,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-17,114.0100,116.8800,111.7100,114.7300,15657544,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-18,116.0000,120.9000,111.6500,113.9900,22565935,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-19,117.0100,135.4000,117.0100,127.9500,26965714,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-22,130.5400,145.1500,130.5400,140.7000,28194254,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-23,138.8800,144.6700,137.8700,144.3000,25350850,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-24,144.9900,157.7700,142.6700,150.8600,25320059,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-25,145.0000,146.8800,142.0300,143.9000,20798988,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-26,142.5200,147.5000,140.0000,141.0000,16485251,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-29,145.0000,149.6000,142.6800,148.3600,17374104,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-09-30,159.0000,178.0300,156.0500,178.0300,25907489,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-09,191.8600,199.5000,182.0000,186.2000,32442629,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-10,178.0000,184.3500,171.7300,180.0100,22172858,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-13,167.0000,183.9900,167.0000,182.9100,24906365,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-14,188.0000,193.5000,166.4600,168.0000,25379642,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-15,168.4200,171.5800,163.5800,169.5000,18616247,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-16,169.9500,192.4200,168.3500,181.6300,27300037,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-17,180.0000,189.5200,177.0200,177.9000,20932167,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-20,183.2600,186.0000,171.6000,179.3900,17982883,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-21,183.0000,192.5800,181.3500,181.9100,22394618,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-22,177.9000,184.0000,173.0000,180.9200,16612071,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-23,180.7400,190.6600,178.6100,190.1900,21302212,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-24,197.0000,223.8800,195.1800,222.0000,29160677,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-27,228.5200,266.0000,218.8900,266.0000,29909436,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-28,249.9800,265.9900,243.8700,257.2900,28584418,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-29,262.4300,285.0000,260.1300,272.8200,24692656,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-30,294.0000,308.0000,281.1800,283.0000,32662395,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-10-31,275.7900,279.3300,251.3900,261.3100,24573679,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-03,256.0200,281.8800,248.2500,278.9900,21986838,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-04,275.0000,288.6900,262.4000,263.7700,19888043,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-05,250.0000,264.3500,240.0000,259.0000,17415250,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-06,271.2000,280.0000,265.5900,268.8000,18850843,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-07,265.2000,290.0000,265.0000,278.1800,24681251,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-10,292.0000,292.0000,262.0800,284.0700,21601302,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-11,288.9900,325.0000,278.0200,301.7200,27714854,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-12,289.0000,316.5800,280.0000,310.0000,25102586,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-13,311.3900,331.5000,310.0100,326.2100,21148648,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-14,297.4000,308.8800,287.0000,291.0700,21372811,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-17,300.9800,305.0000,277.7700,287.7300,18336785,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-18,280.0000,283.5700,270.3300,271.0300,17682713,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-19,262.0100,275.3400,262.0100,265.5600,16207198,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-20,274.5000,274.9600,256.8600,260.7200,17406937,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-21,234.6000,243.1000,229.1900,239.6500,24492779,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-24,238.0000,241.4900,228.8300,239.9900,17429576,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-25,250.0000,252.8000,240.0000,241.4900,19488783,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
