time,open,high,low,close,volume,note
2022-04-06,4.4800,4.5700,4.4500,4.5700,15282143,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-07,4.5500,4.5800,4.5100,4.5300,8409129,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-08,4.5400,4.5600,4.4600,4.5300,9515666,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-11,4.5300,4.5400,4.4300,4.4300,10527814,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-12,4.4200,4.5200,4.4100,4.5200,10150735,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-13,4.5000,4.5100,4.4400,4.4400,9096658,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-14,4.4700,4.4900,4.4400,4.4700,7248401,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-15,4.4600,4.4800,4.4400,4.4500,6999893,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-18,4.4600,4.4700,4.4200,4.4500,6044990,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-19,4.4400,4.4600,4.4200,4.4400,5889958,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-20,4.4400,4.4600,4.4100,4.4300,7132181,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-21,4.4400,4.4400,4.3300,4.3600,10763321,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-22,4.3400,4.4000,4.3000,4.3600,8332616,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-25,4.3200,4.3500,4.1600,4.1700,18300808,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-26,4.1800,4.2300,4.1000,4.1200,12407301,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-27,4.0900,4.1700,4.0800,4.1500,14629808,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-28,4.1600,4.3000,4.1300,4.2200,17624604,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-04-29,4.2400,4.3500,4.2300,4.3200,12746955,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-05,4.3300,4.4300,4.3100,4.4100,14856706,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-06,4.3600,4.3800,4.3100,4.3200,10383339,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-09,4.3300,4.4000,4.3200,4.3500,9351158,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-10,4.3100,4.4000,4.3000,4.3900,10635413,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-11,4.3700,4.4200,4.3600,4.3800,12598599,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-12,4.3800,4.4000,4.3400,4.3900,8821714,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-13,4.4000,4.4100,4.3600,4.3700,5918331,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-16,4.4000,4.4100,4.3500,4.3700,7866238,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-17,4.3800,4.4000,4.3400,4.3800,7283811,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-18,4.3800,4.4000,4.3500,4.3500,6415483,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-19,4.3400,4.4200,4.3300,4.4100,12474877,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-20,4.4000,4.4500,4.4000,4.4400,11886539,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-23,4.4300,4.4600,4.4100,4.4300,8137310,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-24,4.4400,4.4500,4.3300,4.3500,10357401,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-25,4.3600,4.3800,4.3400,4.3700,5653746,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-26,4.3900,4.4200,4.3500,4.4200,8653824,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-27,4.4100,4.4400,4.4000,4.4300,7527126,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-30,4.4400,4.4500,4.4100,4.4100,10656972,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-05-31,4.4200,4.6300,4.4000,4.5600,33238721,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-01,4.5400,4.5600,4.5000,4.5300,20003911,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-02,4.5100,4.8000,4.5100,4.7300,41603269,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-06,4.7300,4.8200,4.6900,4.7200,39088006,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-07,4.7000,4.7300,4.6100,4.6500,25399170,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-08,4.6400,4.6500,4.5300,4.5900,25813159,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-09,4.6000,4.6200,4.5300,4.5600,20296203,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-10,4.5500,4.7500,4.5100,4.7500,60423973,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-13,4.6700,4.7000,4.6100,4.6500,30493646,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-14,4.6100,4.7400,4.5900,4.7200,24617825,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-15,4.7000,4.7900,4.6900,4.7000,27998351,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-16,4.7400,4.7500,4.6700,4.6800,18795157,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-17,4.6700,4.7000,4.6100,4.6900,15186966,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-20,4.6600,4.7000,4.6300,4.6300,13135864,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-21,4.6500,4.6700,4.6000,4.6300,11688162,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-22,4.6400,4.6400,4.5300,4.5300,15045462,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-23,4.5400,4.6000,4.5200,4.5700,11794710,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-24,4.5900,4.6000,4.5500,4.5800,9387024,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-27,4.5700,4.6200,4.5600,4.5600,11360547,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-28,4.5600,4.6100,4.5500,4.5900,10891646,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-29,4.6000,4.6400,4.5300,4.5500,13429724,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-06-30,4.5500,4.5800,4.5300,4.5300,13988354,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-01,4.5500,4.5500,4.5000,4.5100,10609989,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-04,4.5100,4.5100,4.4600,4.4700,13160414,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-05,4.4800,4.5100,4.4100,4.4400,12377438,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
