time,open,high,low,close,volume,note
2020-11-26,288.8800,295.5100,288.8800,291.0000,1167992,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-27,287.0000,303.0300,286.0300,298.6100,1459447,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-11-30,298.1200,311.0600,289.9000,311.0600,2656043,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-01,310.2400,314.9900,303.8500,309.7500,1694552,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-02,308.5000,323.2300,303.5100,304.9500,1683748,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-03,304.9500,307.9900,289.0000,295.5500,1605897,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-04,295.5500,299.3400,291.9900,295.0500,789538,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-07,298.7400,303.6400,295.4800,296.2000,960608,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-08,295.0100,299.7000,291.2600,291.8100,1024526,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-09,290.0600,293.8900,277.9300,278.2800,1590702,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-10,279.8400,289.4000,278.0500,282.0000,1840069,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-11,281.0000,292.8000,279.0000,280.1100,2372840,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-14,287.0000,290.9700,278.1000,280.2200,2215767,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-15,277.8100,284.8500,275.3300,275.4500,1847921,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-16,272.6700,276.0800,267.0400,274.0100,1700505,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-17,271.0200,286.5000,271.0200,284.4200,1778576,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-18,288.0000,297.7400,283.5000,284.4100,1472576,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-21,284.9100,289.8900,276.6000,278.9000,1766575,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-22,276.0700,279.8000,271.2800,271.7400,1420825,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-23,270.3500,276.3100,270.3500,272.7900,1158392,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-24,270.5000,277.6900,269.1300,277.0900,1323648,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-25,275.8000,276.5000,261.0000,263.4900,1827994,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-28,264.1200,267.4900,255.7700,259.8200,1545228,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-29,260.0600,271.8800,258.8900,264.9300,1409592,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-30,264.6400,268.6000,257.2000,261.8800,1537862,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2020-12-31,262.0000,269.4400,258.6000,263.8000,2125799,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-04,265.0500,285.0000,259.0000,284.6000,3054072,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-05,283.5900,295.0000,280.0600,292.9500,3306542,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-06,292.0000,293.0000,275.1500,277.0000,2512647,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-07,277.0100,279.8000,263.0000,265.0000,2122648,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-08,266.9200,271.0000,261.6100,265.5600,1432091,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-11,269.0000,274.5000,251.4000,252.4100,3203331,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-12,253.4400,256.7500,245.0000,256.0000,2248541,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-13,256.1800,273.2700,255.0400,272.0000,3003229,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-14,272.0000,292.0000,270.9900,276.5900,4760398,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
