time,open,high,low,close,volume,note
2022-12-28,22.1500,22.1500,21.8200,21.8600,9340280,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-29,21.7400,22.1500,21.7200,21.8900,9510685,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2022-12-30,22.0500,22.2200,21.9500,22.1400,8063609,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-03,22.1400,22.8700,21.9900,22.8100,20699427,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-04,22.8200,23.0200,22.7600,22.9600,15147631,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-05,22.9000,23.1300,22.7900,23.0900,11703515,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-06,23.0300,23.1500,22.9100,23.0000,11313095,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-09,23.1700,23.1800,22.8500,22.9500,9447257,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-10,23.0000,23.1000,22.8300,22.8500,8832934,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-11,22.8900,23.0400,22.5600,22.5700,10900621,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-12,22.6800,22.7800,22.4500,22.6300,10703261,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-13,22.6800,22.7300,22.5100,22.7000,6869931,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-16,22.6900,23.4400,22.6900,23.3400,20305127,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-17,23.3000,23.4400,23.0600,23.1700,11608642,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-18,23.2000,23.4600,23.1200,23.3900,10843327,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-19,23.3000,23.9500,23.2800,23.9000,17905800,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-20,23.7500,24.6000,23.7100,24.1900,23173152,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-30,24.8200,24.8300,24.1700,24.3300,26713261,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-01-31,24.2300,24.5400,24.0600,24.1100,21475374,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-01,24.1200,24.7000,24.1200,24.7000,22661404,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-02,24.8100,25.2200,24.6800,24.8500,31832922,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-03,24.8800,25.1200,24.5000,25.1000,26772137,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-06,24.9900,25.7700,24.9000,25.4300,37608380,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-07,25.6000,26.3600,25.1500,26.0900,48198794,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-08,26.2500,26.5200,25.3900,25.3900,42653792,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-09,25.1100,27.8800,25.0800,27.1900,86862076,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-10,27.0000,27.3800,26.4200,26.6500,58867308,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-13,26.7100,28.3500,26.7100,27.8000,78905606,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-14,28.8800,30.5000,28.6600,29.0900,115109544,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-15,29.5900,31.8700,28.9900,31.6300,147404501,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-16,30.8100,31.4500,29.1000,29.5700,149273342,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
