time,open,high,low,close,volume,note
2024-03-05,46.1900,51.2000,46.0100,47.8800,102769270,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-06,47.9100,50.5800,47.3300,49.9900,80481795,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-07,50.0000,51.0000,46.3500,46.4300,100408884,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-08,47.2000,48.5700,46.1100,48.0000,67998772,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-11,46.9500,55.8800,46.8000,54.9100,114130085,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-12,55.0600,55.5000,52.9300,53.8200,84285332,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-13,54.8700,54.8700,52.3700,52.4900,79306593,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-14,51.7900,53.4500,50.7800,53.4300,76567131,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-15,53.2000,53.3200,51.1100,52.7800,67225665,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-18,53.0000,55.1200,52.1500,53.2700,73172081,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-19,52.7100,55.8800,52.5500,53.2000,81055632,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-20,52.6000,53.5500,50.8600,52.4200,72066501,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-21,51.8500,52.8000,51.2500,51.4000,47339774,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-22,51.6500,52.7500,50.6300,51.3800,57841830,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-25,50.9100,52.9800,49.1100,49.3100,63130928,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-26,49.0000,50.2500,47.1100,47.9900,67016806,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-27,47.5100,47.9800,44.9800,45.0400,55074544,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-28,45.4800,48.0700,45.0300,46.9000,62774238,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-03-29,46.6200,47.2800,45.3500,46.4800,41439377,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-01,47.0100,47.8800,46.5900,47.5500,43605979,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-02,47.1700,47.3800,45.3300,45.6400,45280104,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-03,45.5000,45.8000,43.7700,44.5100,38220982,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-08,45.1100,47.6400,44.8700,46.1600,64955429,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-09,45.6000,46.1900,43.5000,45.0200,51736033,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-10,44.9800,46.1700,44.0000,44.4400,42915803,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-11,44.0300,45.0700,42.6600,43.4000,50945056,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-12,43.4000,44.5600,43.2100,43.3400,37643260,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-15,43.1900,44.2800,41.9800,42.8600,42307439,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-16,42.5000,42.9600,40.4400,40.5900,41267495,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-17,41.4000,43.2700,41.3700,42.8000,45864580,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-18,42.2000,44.8900,41.4600,43.5000,59767010,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-19,42.8000,44.2200,42.1300,42.4700,38985584,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-22,40.5000,41.2300,39.5000,40.4800,35288068,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-23,41.0000,41.4200,40.1000,40.2400,24741191,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-24,40.7700,42.6700,40.3000,42.6500,42474303,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-25,42.0100,42.4400,41.3000,41.5200,30726292,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-26,41.9900,44.9800,41.9500,44.4200,60988671,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-29,44.0000,45.4100,43.6700,44.6300,64910873,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-04-30,44.4400,44.9500,41.5600,42.1500,58740011,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
