time,open,high,low,close,volume,note
2026-04-20,12.2100,12.3300,12.0700,12.2700,9841677,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-21,12.2400,12.3800,12.1100,12.1800,8486397,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-22,12.1500,12.2800,12.0600,12.1600,8951072,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-23,12.1600,12.2700,12.0900,12.1700,8628800,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-24,12.1700,12.1700,11.9000,12.0500,7106951,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-27,12.0700,12.0800,11.8100,12.0000,7922350,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-28,11.9200,11.9200,11.5700,11.6600,11133899,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-29,11.6600,11.9400,11.6200,11.9100,10304799,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-04-30,11.9000,12.0500,11.6600,11.8900,10514399,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-06,11.8200,11.8200,11.3700,11.4800,16965749,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-07,11.4500,11.5700,11.3900,11.4100,8482841,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-08,11.4100,11.5700,11.3400,11.4700,7363960,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-11,11.4800,11.5000,11.3700,11.4000,9129349,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-12,11.4300,11.4300,11.2900,11.3500,7559440,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-13,11.3600,11.3900,11.3000,11.3500,4484266,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-14,11.3500,11.4300,11.2200,11.3300,7521001,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-15,11.3200,11.4200,11.2500,11.3600,6396053,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-18,11.3400,11.3500,11.0900,11.1000,7840701,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-19,11.1400,11.3000,11.1000,11.2600,5924602,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
