time,open,high,low,close,volume,note
2026-03-13,6.4300,6.6500,6.4300,6.4600,205645825,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-16,6.5000,6.6100,6.4500,6.4600,125586917,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-17,6.4800,6.6400,6.4700,6.5000,184780561,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-18,6.5000,6.5100,6.3400,6.3600,138933839,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-19,6.3100,6.3500,6.2200,6.2400,102131709,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-20,6.2500,6.2800,6.1600,6.1600,77075252,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-23,6.1100,6.1100,5.9000,5.9200,154343392,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-24,5.9700,6.0000,5.8800,5.9700,97085144,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-25,5.9700,6.0300,5.9500,6.0100,90829309,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-26,6.0100,6.0300,5.8800,5.8800,82054257,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-27,5.8300,5.9000,5.8100,5.8900,67267070,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-30,5.8200,5.8600,5.7700,5.8400,75140683,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-03-31,5.8500,5.9300,5.7900,5.8200,82156948,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-01,5.8800,5.9100,5.8300,5.8900,69500465,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-02,5.8700,5.8700,5.6800,5.7000,125861948,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-03,5.7100,5.7300,5.5000,5.5100,123636393,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-07,5.5100,5.5500,5.4700,5.5000,66534437,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-08,5.5900,5.7000,5.5900,5.7000,112129864,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-09,5.6500,5.6600,5.5300,5.5700,108841016,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-10,5.5800,5.6500,5.5700,5.6000,83815448,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-13,5.5500,5.7700,5.5400,5.7300,146171562,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-14,5.7800,5.9600,5.7400,5.9500,178158601,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-15,5.9500,6.0900,5.8600,5.9400,149630133,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-16,5.9300,6.0300,5.9100,5.9700,70092281,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-17,5.9800,6.1600,5.9600,6.0700,141425564,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-20,6.0600,6.0600,5.8800,5.9400,110657910,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-21,5.9300,6.0000,5.9100,5.9700,71136104,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-22,5.9400,6.0000,5.9000,5.9300,67225501,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-23,5.9300,5.9300,5.8500,5.8700,64080571,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-24,5.8400,5.8600,5.6900,5.7400,101028485,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-27,5.7500,5.8000,5.7100,5.7800,68359812,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-28,5.8600,6.0900,5.8500,6.0300,214819991,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-29,5.9900,6.1700,5.9900,6.1400,150412225,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-04-30,6.1100,6.2000,6.0400,6.1400,117567446,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-06,6.1900,6.4800,6.1600,6.4000,232720458,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-07,6.4000,6.4500,6.3500,6.4000,136794202,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-08,6.3800,6.5000,6.3300,6.4300,135449192,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-11,6.4300,6.8600,6.4000,6.6400,324231402,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-12,6.6400,6.7200,6.5500,6.6200,220667845,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-13,6.5800,6.5900,6.4400,6.5100,166734007,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
