time,open,high,low,close,volume,note
2022-11-22,25.0800,25.5600,24.9100,25.1000,21882910,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-23,25.1100,25.2000,24.3800,24.7300,22207742,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-24,24.7800,24.9200,24.5800,24.7200,12898007,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-25,24.6600,25.1000,24.3200,24.3600,17782619,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-28,23.8800,24.7800,23.7900,24.6100,19032827,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-29,24.6800,25.0500,24.4000,24.9900,20979296,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-11-30,25.0000,25.1400,24.8100,25.0000,16393593,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-01,25.2000,25.4700,24.8500,24.9100,21076303,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-02,24.7800,25.0900,24.3700,24.4400,21117772,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-05,24.5100,24.8700,24.3700,24.8600,19764710,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-06,24.7000,25.3400,24.6800,24.9800,26606268,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-07,24.7500,24.8800,24.4500,24.4800,22242102,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-08,24.4000,24.5600,23.8500,23.9400,23922862,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-09,23.9600,24.3100,23.9200,24.2200,19665382,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-12,24.0600,24.7400,23.9900,24.4200,21023381,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-13,24.3300,24.4800,24.1600,24.1700,11789444,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-14,24.9000,25.2000,24.5300,24.5400,40464895,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-15,24.3000,25.8300,24.2600,25.4000,56048384,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-16,25.1200,25.2800,24.9200,25.1900,24793126,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-19,25.1000,25.1100,24.1300,24.1900,22850548,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-20,24.0200,24.6100,23.8300,24.1400,17751186,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-21,24.1400,24.3500,23.6000,23.8900,15555311,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-22,23.8800,24.0800,23.3300,23.4400,15031790,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-23,23.1800,23.3900,22.8000,22.9400,14939249,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-26,22.9500,23.5300,22.9300,23.4300,12122877,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-27,23.4500,23.6200,23.2200,23.4500,11668101,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-28,23.3900,23.4200,23.0600,23.1500,10574873,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-29,23.0800,23.2800,22.9600,23.0500,9218366,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2022-12-30,23.2400,23.2700,22.9800,23.0500,9109892,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-03,23.0800,23.4800,22.9300,23.4200,12943599,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-04,23.4000,23.9600,23.4000,23.5400,18334343,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
