time,open,high,low,close,volume,note
2026-03-18,7.7400,8.0300,7.6900,8.0100,20253880,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-19,7.9000,8.0400,7.8100,7.9200,23619201,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-20,7.9300,7.9900,7.5700,7.5700,23593365,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-23,7.4600,7.5000,6.9500,7.0500,30249364,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-24,7.1800,7.1900,7.0000,7.1700,16795265,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-25,7.2000,7.3800,7.1900,7.3400,15232934,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-26,7.3400,7.4300,7.2200,7.2800,12453405,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-27,7.2500,7.4800,7.2400,7.4800,17993100,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-30,7.3800,7.5000,7.2800,7.4600,14413257,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-03-31,7.4700,7.5400,7.3200,7.3400,13391500,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-01,7.4800,7.5700,7.4000,7.5000,15065000,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-02,7.4800,7.4900,7.2900,7.3300,10561000,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-03,7.3300,7.3600,7.1100,7.1500,11182790,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-07,7.1600,7.2600,7.1400,7.2400,9089589,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-08,7.3700,7.5900,7.3700,7.5900,18021523,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-09,7.5400,7.6700,7.4900,7.5900,19076500,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-10,7.6000,7.7200,7.5900,7.6600,12202801,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-13,7.6000,7.6600,7.5600,7.5900,10476901,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-14,7.6800,7.8900,7.6600,7.7600,20345020,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-15,7.7700,7.7700,7.5300,7.5400,14719226,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-16,7.5800,7.7900,7.5700,7.7500,15561038,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-17,7.7100,7.7400,7.6300,7.6900,10533291,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-20,7.6900,7.8400,7.6600,7.7300,12125784,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-21,7.6800,7.7600,7.6300,7.6600,9211400,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-22,7.6200,7.6600,7.6000,7.6100,7892601,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-23,7.6200,7.6700,7.5600,7.5900,11524200,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-24,7.5700,7.5700,7.3900,7.4900,13139437,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-27,7.5200,7.6200,7.4800,7.5800,12460988,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-28,7.5800,7.6400,7.4200,7.4900,12369196,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-29,7.7300,7.9600,7.7100,7.9000,37784601,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-04-30,7.9000,8.1000,7.8700,7.9900,25361858,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-06,7.9500,8.1400,7.8600,8.0600,26755944,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-07,8.0600,8.2200,8.0100,8.1600,28409190,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-08,8.1800,8.2900,8.1500,8.2000,22256580,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-11,8.1700,8.2600,8.0800,8.2100,23104498,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-12,8.1700,8.2100,8.0400,8.0900,20812192,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-13,8.0900,8.1400,8.0000,8.1300,21798002,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-14,8.1300,8.1500,7.8700,7.8700,22895576,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-15,7.8600,8.0800,7.7700,7.8200,22582441,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-18,7.8300,7.9600,7.7900,7.9000,25397686,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-19,7.8600,8.1100,7.8000,8.1000,20138898,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-20,8.0300,8.0700,7.8500,7.9600,22236885,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-21,7.9600,8.0700,7.6000,7.6000,24128667,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-22,7.6600,7.7100,7.4400,7.5900,22766968,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-25,7.6900,7.8000,7.5900,7.6500,18896400,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-26,7.6000,7.6300,7.4000,7.4800,16753500,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-27,7.4800,7.7300,7.4000,7.4400,21829220,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-28,7.4100,7.4900,7.2200,7.3600,19919080,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-05-29,7.3600,7.4300,7.2700,7.3000,17168911,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-01,7.3200,7.4700,7.2400,7.4000,19583701,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-02,7.3900,7.4100,7.1500,7.1700,19199200,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-03,7.1600,7.1800,7.0100,7.0500,15731570,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-04,7.0400,7.0800,6.7600,6.8400,19662060,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-05,6.9000,6.9200,6.7500,6.8400,14643001,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-08,6.6900,6.8300,6.5600,6.6600,17146887,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-09,6.6600,6.7000,6.5700,6.6600,11758402,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-10,6.6200,6.7700,6.6100,6.7000,14215280,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-11,6.6700,6.7000,6.4300,6.5100,15898664,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-12,6.5500,6.6700,6.4900,6.6300,14242212,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-15,6.6600,6.8000,6.6400,6.7000,14012132,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-16,6.7000,6.7400,6.5900,6.7200,13072464,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-17,6.6700,6.7500,6.5800,6.7300,14192367,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-18,6.7000,6.7800,6.6000,6.6100,15355230,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-22,6.6000,6.7200,6.4500,6.7000,15073020,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-23,6.7000,6.9000,6.6400,6.6800,14779888,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-24,6.6900,6.7100,6.4500,6.5000,14153088,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-25,6.5000,6.5200,6.3300,6.4300,13520024,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-26,6.4300,6.4300,6.2300,6.2900,14386077,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-29,6.2700,6.3300,6.1000,6.2100,15459322,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-06-30,6.2000,6.2900,6.1300,6.2700,10724042,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-07-01,6.2700,6.4800,6.2400,6.3900,14705162,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-07-02,6.4200,6.5300,6.2800,6.3200,15078888,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-07-03,6.3200,6.4000,6.2900,6.3300,14642859,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-07-06,6.3200,6.4100,6.3200,6.4000,12068101,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-07-07,6.3800,6.4000,6.2100,6.2300,11707802,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-07-08,6.2400,6.3500,6.1600,6.2700,13851198,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
2026-07-09,6.2500,6.3400,6.1500,6.1800,15694417,sh.600037 | 歌华有线 | baostock | adjustflag=3 raw
