time,open,high,low,close,volume,note
2026-04-09,8.9500,9.0200,8.8500,8.8500,5287900,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-10,8.8700,8.9600,8.8500,8.8700,5736143,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-13,8.8500,8.8800,8.7900,8.8600,4536402,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-14,8.8800,8.9100,8.8000,8.9000,4789807,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-15,8.9000,8.9700,8.8700,8.9100,6124640,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-16,8.8900,8.9700,8.8800,8.9500,5015400,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-17,8.9100,8.9400,8.8500,8.9200,4546600,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-20,8.9000,8.9300,8.8400,8.8700,6531276,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-21,8.8600,8.9400,8.8000,8.8300,5528800,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-22,8.8200,8.9700,8.8000,8.9600,7394901,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-23,8.9400,9.0800,8.8800,9.0000,12183145,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-24,9.0200,9.1000,8.9700,9.0700,12538945,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-27,9.0500,9.0600,8.8700,8.9400,8657700,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-28,8.9300,9.0000,8.8600,8.9200,8265201,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-29,8.9200,9.0500,8.9100,8.9700,9524650,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-04-30,8.9600,9.0200,8.9000,8.9100,7419701,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
