time,open,high,low,close,volume,note
2026-03-03,27.0600,27.3800,26.7500,26.8000,160721145,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-04,26.6000,26.6500,26.0500,26.1400,150080106,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-05,26.3300,26.4400,26.1000,26.2100,81899057,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-06,26.1800,26.5800,26.1100,26.4300,77673336,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-09,26.0100,26.0100,25.6300,25.8800,126946526,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-10,26.1000,26.2700,26.0000,26.1300,90837752,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-11,26.1400,26.2000,25.9400,26.1000,88402598,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-12,26.0000,26.0800,25.8000,25.9300,91861750,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-13,25.7300,25.9500,25.6600,25.7500,80647744,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-16,25.6600,25.6900,25.3600,25.5000,115669803,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-17,25.5000,26.5500,25.5000,25.9100,221171782,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-18,25.9000,26.0200,25.7500,25.9700,85965852,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-19,25.7500,25.8400,25.5000,25.6100,107159437,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-20,25.6200,25.7100,25.3000,25.3000,100896257,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-23,25.0000,25.0000,24.0900,24.2900,199265633,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-24,24.5000,24.6100,24.0800,24.3600,127910113,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-25,24.4000,24.8500,24.3600,24.6600,113477202,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-26,24.5800,24.6200,24.0500,24.1300,113838924,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
