time,open,high,low,close,volume,note
2026-06-02,3.9100,3.9400,3.8900,3.9100,13584842,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-03,3.9100,3.9100,3.8300,3.8600,11847962,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-04,3.8600,3.8900,3.7900,3.8100,12653685,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-05,3.8300,3.8700,3.8200,3.8300,11466720,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-08,3.8000,3.8100,3.7300,3.7600,14753976,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-09,3.7600,3.7900,3.7400,3.7800,7319412,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-10,3.7600,3.8200,3.7600,3.8100,7343792,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-11,3.8000,3.8000,3.7600,3.7800,5769120,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-12,3.7900,3.8100,3.7700,3.7900,9856182,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-15,3.8100,3.8200,3.7700,3.7800,10296703,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-16,3.7800,3.7900,3.7500,3.7700,10514145,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-17,3.7700,3.7700,3.7300,3.7400,6757845,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-18,3.7200,3.7300,3.7000,3.7200,7213900,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-22,3.7100,3.7200,3.6400,3.7100,7671820,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-23,3.7100,3.7700,3.7000,3.7500,10503349,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-24,3.7500,3.7500,3.6400,3.6700,10531761,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-25,3.6700,3.6700,3.5900,3.6200,8070400,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-26,3.4800,3.4800,3.4000,3.4000,9965600,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-29,3.4000,3.4500,3.3400,3.4300,9856472,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-06-30,3.4300,3.4300,3.3600,3.3700,4487468,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-07-01,3.3700,3.4200,3.3300,3.4000,6439320,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-07-02,3.3900,3.4600,3.3800,3.4100,7446989,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-07-03,3.4100,3.4700,3.4100,3.4500,5014880,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-07-06,3.4700,3.5300,3.4500,3.5200,9690400,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-07-07,3.5300,3.5300,3.4400,3.4600,5461700,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-07-08,3.4600,3.5200,3.4000,3.5000,8204176,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
2026-07-09,3.5100,3.5100,3.4600,3.4700,6129596,sh.600035 | 楚天高速 | baostock | adjustflag=3 raw
