time,open,high,low,close,volume,note
2026-04-02,4.0000,4.0200,3.9000,3.9400,7953700,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-03,3.9200,3.9400,3.7800,3.8000,9284600,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-07,3.8100,3.9200,3.7700,3.9000,13818600,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-08,3.9100,4.0100,3.9100,4.0100,9988500,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-09,3.9900,4.0000,3.8800,3.9000,8803053,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-10,3.9200,4.0000,3.9000,3.9600,8241000,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-13,3.9900,4.0500,3.8600,3.9000,18576035,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-14,3.9000,3.9400,3.8100,3.8700,11919996,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-15,3.8900,3.8900,3.7700,3.7800,9431600,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-16,3.7900,3.8700,3.7500,3.8500,10998711,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-17,3.8400,3.8500,3.7400,3.7700,11997300,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-20,3.7700,3.8200,3.7300,3.8000,9726200,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-21,3.8000,3.8200,3.7200,3.7800,12514750,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-22,3.8000,4.1600,3.7500,4.1600,39932990,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-23,4.2400,4.5800,4.2000,4.5800,100445311,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-24,4.9000,4.9000,4.2800,4.3000,122375684,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-27,4.1900,4.4900,4.1500,4.3500,78448933,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-28,4.1100,4.3300,4.1100,4.1900,63730758,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-29,4.1700,4.1700,4.0100,4.0400,51760960,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-04-30,4.0600,4.4400,4.0400,4.4400,53877231,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-06,4.4400,4.6300,4.3500,4.5100,93158119,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-07,4.5400,4.6100,4.4700,4.5400,58276089,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-08,4.5900,4.6900,4.5000,4.6000,52422925,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-11,4.6700,4.6800,4.4600,4.5800,43500300,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-12,4.5500,4.5800,4.4200,4.4600,33119000,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-13,4.4900,4.6200,4.4500,4.5300,30839801,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-14,4.5800,4.5900,4.3800,4.4600,39819100,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-15,4.4600,4.5100,4.3300,4.3700,25486502,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
